index,good/bad/unsolvable,reply
0,unsolvable,"['B', 'A', 'F', 'D', 'E']"
1,good,"['A', 'B', 'E', 'C', 'D']"
2,good,"['A', 'B', 'C', 'D', 'E']"
3,good,"['A', 'B', 'E', 'F', 'C']"
4,good,"['A', 'B', 'E', 'D', 'C']"
5,good,"['A', 'B', 'C', 'E', 'D']"
6,good,"['A', 'B', 'F', 'C', 'E']"
7,good,"['B', 'D', 'A', 'F', 'E']"
8,good,"['A', 'B', 'C', 'D', 'E']"
9,good,"['B', 'C', 'E', 'A', 'F']"
10,good,"['A', 'B', 'D', 'E', 'C']"
11,good,"['A', 'B', 'C', 'E', 'D']"
12,good,"['A', 'B', 'C', 'D', 'F']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,good,"['A', 'B', 'C', 'D', 'E']"
15,good,"['A', 'B', 'D', 'F', 'E']"
16,good,"['A', 'B', 'F', 'E', 'C']"
17,good,"['A', 'B', 'D', 'E', 'C']"
18,good,"['A', 'B', 'F', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D', 'E']"
20,good,"['A', 'B', 'D', 'E', 'C']"
21,good,"['A', 'B', 'C', 'E', 'D']"
22,good,"['A', 'B', 'C', 'D', 'E']"
23,good,"['A', 'B', 'E', 'C', 'D']"
24,good,"['A', 'B', 'F', 'E', 'D']"
25,good,"['B', 'A', 'D', 'C', 'E']"
26,bad,"['i', 'n', 'f', 'e', 'r']"
27,good,"['A', 'B', 'C', 'D', 'E']"
28,good,"['A', 'B', 'D', 'C', 'E']"
29,good,"['A', 'B', 'C', 'F', 'E']"
30,good,"['A', 'B', 'D', 'C', 'F']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['A', 'B', 'C', 'E', 'D']"
33,good,"['A', 'B', 'E', 'D', 'C']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['B', 'A', 'C', 'D', 'E']"
36,good,"['A', 'B', 'D', 'E', 'C']"
37,good,"['A', 'B', 'C', 'F', 'E']"
38,good,"['A', 'B', 'C', 'F', 'D']"
39,good,"['A', 'B', 'E', 'D', 'C']"
40,unsolvable,"['B', 'C', 'A', 'E', 'F']"
41,good,"['A', 'B', 'C', 'D', 'E']"
42,good,"['A', 'B', 'F', 'E', 'D']"
43,good,"['B', 'F', 'E', 'A', 'C']"
44,good,"['B', 'F', 'A', 'C', 'D']"
45,good,"['B', 'A', 'D', 'C', 'E']"
46,good,"['A', 'B', 'D', 'E', 'C']"
47,good,"['A', 'B', 'C', 'D', 'E']"
48,unsolvable,"['A', 'B', 'C', 'E', 'F']"
49,good,"['B', 'A', 'E', 'C', 'D']"
50,good,"['A', 'B', 'D', 'E', 'C']"
51,good,"['A', 'B', 'D', 'E', 'C']"
52,good,"['B', 'A', 'D', 'E', 'F']"
53,good,"['B', 'A', 'E', 'D', 'F']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,good,"['A', 'B', 'C', 'D', 'E']"
56,unsolvable,"['A', 'B', 'F', 'D', 'C']"
57,good,"['A', 'B', 'C', 'E', 'D']"
58,unsolvable,"['A', 'B', 'F', 'E', 'D']"
59,good,"['A', 'B', 'C', 'D', 'F']"
60,good,"['A', 'B', 'D', 'F', 'C']"
61,good,"['A', 'B', 'D', 'E', 'C']"
62,good,"['A', 'B', 'C', 'D', 'E']"
63,good,"['B', 'C', 'F', 'D', 'E']"
64,good,"['A', 'B', 'C', 'D', 'E']"
65,good,"['A', 'B', 'C', 'D', 'E']"
66,good,"['B', 'A', 'C', 'D', 'E']"
67,good,"['B', 'A', 'E', 'D', 'F']"
68,good,"['A', 'B', 'C', 'D', 'E']"
69,good,"['A', 'B', 'C', 'F', 'E']"
70,good,"['A', 'B', 'E', 'C', 'D']"
71,unsolvable,"['A', 'B', 'E', 'C', 'D']"
72,good,"['A', 'B', 'C', 'D', 'E']"
73,good,"['A', 'B', 'C', 'D', 'F']"
74,good,"['A', 'B', 'D', 'F', 'C']"
75,good,"['A', 'B', 'D', 'C', 'E']"
76,good,"['A', 'B', 'E', 'C', 'D']"
77,unsolvable,"['A', 'B', 'D', 'C', 'E']"
78,good,"['A', 'B', 'C', 'D', 'E']"
79,good,"['A', 'B', 'D', 'E', 'C']"
80,good,"['A', 'B', 'C', 'E', 'F']"
81,good,"['A', 'D', 'F', 'E', 'B']"
82,good,"['A', 'B', 'E', 'C', 'D']"
83,good,"['A', 'B', 'C', 'E', 'D']"
84,good,"['A', 'B', 'F', 'D', 'E']"
85,good,"['A', 'B', 'D', 'E', 'C']"
86,good,"['A', 'B', 'D', 'C', 'E']"
87,good,"['A', 'B', 'D', 'E', 'C']"
88,good,"['A', 'B', 'C', 'D', 'E']"
89,good,"['A', 'B', 'D', 'E', 'F']"
90,good,"['A', 'B', 'C', 'F', 'D']"
91,good,"['A', 'B', 'D', 'E', 'C']"
92,good,"['A', 'B', 'D', 'E', 'C']"
93,good,"['A', 'B', 'C', 'D', 'E']"
94,good,"['A', 'B', 'C', 'F', 'E']"
95,good,"['A', 'B', 'C', 'E', 'F']"
96,good,"['A', 'B', 'C', 'E', 'D']"
97,good,"['A', 'B', 'D', 'E', 'C']"
98,good,"['B', 'A', 'E', 'D', 'C']"
99,good,"['A', 'B', 'D', 'C', 'E']"
