index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['B', 'C', 'A', 'D']"
6,good,"['A', 'C', 'B', 'D']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'D', 'B', 'C']"
9,good,"['A', 'D', 'B', 'C']"
10,good,"['A', 'D', 'B', 'C']"
11,good,"['A', 'C', 'B', 'D']"
12,good,"['A', 'C', 'B', 'D']"
13,good,"['A', 'C', 'B', 'D']"
14,good,"['A', 'C', 'B', 'D']"
15,good,"['B', 'C', 'A', 'D']"
16,good,"['A', 'C', 'B', 'D']"
17,good,"['A', 'C', 'B', 'D']"
18,good,"['A', 'C', 'B', 'D']"
19,good,"['A', 'C', 'B', 'D']"
20,good,"['A', 'D', 'B', 'C']"
21,good,"['A', 'C', 'B', 'D']"
22,good,"['A', 'C', 'B', 'D']"
23,good,"['A', 'C', 'B', 'D']"
24,good,"['A', 'C', 'B', 'D']"
25,good,"['A', 'D', 'B', 'C']"
26,good,"['A', 'C', 'B', 'D']"
27,good,"['A', 'D', 'B', 'C']"
28,good,"['A', 'C', 'B', 'D']"
29,good,"['A', 'D', 'B', 'C']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'B', 'D']"
34,good,"['A', 'C', 'B', 'D']"
35,good,"['A', 'C', 'B', 'D']"
36,good,"['B', 'C', 'A', 'D']"
37,good,"['A', 'C', 'B', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,good,"['A', 'D', 'C', 'B']"
40,good,"['B', 'C', 'A', 'D']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'D', 'B', 'C']"
43,good,"['A', 'C', 'B', 'D']"
44,good,"['A', 'C', 'B', 'D']"
45,good,"['A', 'C', 'B', 'D']"
46,good,"['A', 'C', 'B', 'D']"
47,good,"['A', 'D', 'C', 'B']"
48,good,"['A', 'C', 'B', 'D']"
49,good,"['A', 'C', 'B', 'D']"
50,good,"['A', 'D', 'C', 'B']"
51,good,"['A', 'C', 'B', 'D']"
52,good,"['A', 'C', 'B', 'D']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'D', 'C', 'B']"
55,good,"['A', 'D', 'C', 'B']"
56,good,"['A', 'C', 'B', 'D']"
57,good,"['A', 'D', 'B', 'C']"
58,good,"['B', 'C', 'A', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'B', 'D']"
61,good,"['A', 'C', 'B', 'D']"
62,good,"['A', 'D', 'C', 'B']"
63,good,"['A', 'C', 'B', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'B', 'D']"
66,good,"['A', 'D', 'C', 'B']"
67,good,"['B', 'C', 'A', 'D']"
68,good,"['B', 'C', 'A', 'D']"
69,good,"['A', 'C', 'B', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['A', 'D', 'B', 'C']"
72,good,"['A', 'C', 'B', 'D']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'D', 'B', 'C']"
75,good,"['A', 'B', 'C', 'D']"
76,good,"['A', 'C', 'B', 'D']"
77,good,"['A', 'C', 'B', 'D']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['B', 'C', 'A', 'D']"
80,good,"['A', 'C', 'B', 'D']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,good,"['A', 'D', 'B', 'C']"
84,good,"['A', 'C', 'B', 'D']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'D', 'B', 'C']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'D', 'B', 'C']"
91,good,"['A', 'C', 'B', 'D']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'C', 'B', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'D', 'B', 'C']"
96,good,"['A', 'D', 'B', 'C']"
97,good,"['A', 'D', 'C', 'B']"
98,good,"['A', 'C', 'B', 'D']"
99,good,"['A', 'C', 'B', 'D']"
