prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
479.0,489.0,0.00479,0.01467,0.01946
509.0,451.0,0.00509,0.013529999999999999,0.018619999999999998
513.0,677.0,0.00513,0.020309999999999998,0.025439999999999997
554.0,622.0,0.00554,0.01866,0.0242
514.0,695.0,0.00514,0.020849999999999997,0.025989999999999996
487.0,602.0,0.00487,0.01806,0.02293
591.0,616.0,0.00591,0.01848,0.024390000000000002
680.0,734.0,0.0068,0.022019999999999998,0.02882
479.0,442.0,0.00479,0.01326,0.01805
470.0,526.0,0.0047,0.01578,0.020479999999999998
510.0,645.0,0.0051,0.01935,0.02445
525.0,481.0,0.00525,0.01443,0.01968
548.0,598.0,0.0054800000000000005,0.017939999999999998,0.023419999999999996
546.0,551.0,0.00546,0.01653,0.02199
509.0,486.0,0.00509,0.01458,0.01967
594.0,580.0,0.00594,0.0174,0.02334
534.0,565.0,0.00534,0.01695,0.02229
646.0,945.0,0.00646,0.028349999999999997,0.034809999999999994
537.0,576.0,0.00537,0.01728,0.02265
534.0,624.0,0.00534,0.01872,0.02406
485.0,590.0,0.00485,0.0177,0.02255
664.0,562.0,0.006640000000000001,0.01686,0.0235
548.0,576.0,0.0054800000000000005,0.01728,0.022760000000000002
665.0,854.0,0.0066500000000000005,0.025619999999999997,0.03227
699.0,654.0,0.0069900000000000006,0.019620000000000002,0.02661
576.0,684.0,0.0057599999999999995,0.02052,0.026279999999999998
652.0,738.0,0.006520000000000001,0.02214,0.02866
549.0,584.0,0.00549,0.01752,0.023010000000000003
462.0,520.0,0.00462,0.0156,0.02022
538.0,501.0,0.00538,0.01503,0.02041
547.0,526.0,0.00547,0.01578,0.021249999999999998
472.0,386.0,0.004719999999999999,0.01158,0.0163
630.0,459.0,0.0063,0.01377,0.020069999999999998
454.0,318.0,0.00454,0.00954,0.014079999999999999
542.0,536.0,0.00542,0.016079999999999997,0.0215
487.0,473.0,0.00487,0.01419,0.01906
546.0,656.0,0.00546,0.01968,0.02514
561.0,654.0,0.00561,0.019620000000000002,0.025230000000000002
617.0,895.0,0.00617,0.02685,0.03302
604.0,607.0,0.00604,0.01821,0.02425
453.0,407.0,0.00453,0.012209999999999999,0.016739999999999998
484.0,514.0,0.00484,0.01542,0.02026
533.0,569.0,0.00533,0.017070000000000002,0.022400000000000003
516.0,521.0,0.0051600000000000005,0.015629999999999998,0.02079
562.0,608.0,0.00562,0.01824,0.02386
500.0,517.0,0.005,0.01551,0.02051
593.0,435.0,0.0059299999999999995,0.013049999999999999,0.018979999999999997
690.0,585.0,0.006900000000000001,0.01755,0.02445
522.0,666.0,0.00522,0.01998,0.0252
610.0,900.0,0.0061,0.027,0.0331
508.0,549.0,0.00508,0.01647,0.02155
474.0,597.0,0.00474,0.01791,0.02265
478.0,580.0,0.00478,0.0174,0.02218
678.0,789.0,0.0067800000000000004,0.023669999999999997,0.030449999999999998
541.0,646.0,0.00541,0.019379999999999998,0.02479
485.0,415.0,0.00485,0.01245,0.0173
540.0,663.0,0.0054,0.01989,0.02529
533.0,627.0,0.00533,0.01881,0.02414
509.0,603.0,0.00509,0.01809,0.02318
467.0,495.0,0.00467,0.01485,0.01952
570.0,489.0,0.0057,0.01467,0.02037
571.0,471.0,0.00571,0.014129999999999998,0.019839999999999997
508.0,433.0,0.00508,0.01299,0.01807
521.0,796.0,0.00521,0.02388,0.029089999999999998
498.0,519.0,0.00498,0.01557,0.02055
501.0,666.0,0.00501,0.01998,0.024990000000000002
549.0,647.0,0.00549,0.01941,0.0249
535.0,603.0,0.005350000000000001,0.01809,0.02344
548.0,504.0,0.0054800000000000005,0.01512,0.0206
568.0,569.0,0.005679999999999999,0.017070000000000002,0.02275
497.0,616.0,0.00497,0.01848,0.02345
549.0,757.0,0.00549,0.02271,0.028200000000000003
557.0,943.0,0.00557,0.02829,0.03386
556.0,558.0,0.005560000000000001,0.016739999999999998,0.0223
495.0,462.0,0.00495,0.013859999999999999,0.01881
480.0,587.0,0.0048,0.01761,0.02241
548.0,498.0,0.0054800000000000005,0.01494,0.02042
746.0,622.0,0.00746,0.01866,0.026119999999999997
468.0,478.0,0.00468,0.01434,0.019020000000000002
691.0,507.0,0.00691,0.01521,0.02212
632.0,526.0,0.00632,0.01578,0.022099999999999998
533.0,765.0,0.00533,0.022949999999999998,0.02828
464.0,517.0,0.00464,0.01551,0.02015
487.0,517.0,0.00487,0.01551,0.02038
569.0,521.0,0.005690000000000001,0.015629999999999998,0.02132
738.0,598.0,0.00738,0.017939999999999998,0.02532
517.0,591.0,0.00517,0.01773,0.0229
546.0,542.0,0.00546,0.016259999999999997,0.021719999999999996
474.0,540.0,0.00474,0.0162,0.02094
686.0,706.0,0.006860000000000001,0.02118,0.028040000000000002
528.0,721.0,0.00528,0.02163,0.02691
502.0,570.0,0.00502,0.017099999999999997,0.022119999999999997
582.0,766.0,0.0058200000000000005,0.02298,0.0288
627.0,504.0,0.00627,0.01512,0.02139
581.0,640.0,0.005810000000000001,0.0192,0.025009999999999998
470.0,510.0,0.0047,0.0153,0.02
484.0,452.0,0.00484,0.01356,0.0184
549.0,672.0,0.00549,0.02016,0.02565
519.0,551.0,0.00519,0.01653,0.02172
504.0,457.0,0.00504,0.013709999999999998,0.01875
