index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['A', 'C', 'B', 'D']"
2,good,"['C', 'A', 'D', 'B']"
3,good,"['A', 'C', 'D', 'B']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'C', 'D', 'B']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['A', 'D', 'C', 'B']"
10,unsolvable,"['C', 'A', 'B', 'D']"
11,good,"['A', 'C', 'D', 'B']"
12,unsolvable,"['C', 'A', 'B', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'C', 'B', 'D']"
15,good,"['A', 'C', 'D', 'B']"
16,good,"['A', 'C', 'B', 'D']"
17,good,"['A', 'C', 'D', 'B']"
18,unsolvable,"['A', 'C', 'B', 'D']"
19,good,"['A', 'C', 'B', 'D']"
20,unsolvable,"['B', 'D', 'A', 'C']"
21,good,"['A', 'C', 'B', 'D']"
22,good,"['A', 'C', 'D', 'B']"
23,good,"['A', 'C', 'B', 'D']"
24,unsolvable,"['A', 'C', 'D', 'B']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'C', 'D', 'B']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'C', 'B', 'D']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'B', 'D']"
34,good,"['A', 'C', 'B', 'D']"
35,good,"['C', 'A', 'D', 'B']"
36,good,"['A', 'C', 'B', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,unsolvable,"['A', 'C', 'B', 'D']"
40,good,"['A', 'C', 'B', 'D']"
41,good,"['C', 'A', 'D', 'B']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['C', 'A', 'D', 'B']"
45,good,"['A', 'C', 'D', 'B']"
46,good,"['C', 'A', 'B', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'C', 'D', 'B']"
49,good,"['A', 'C', 'D', 'B']"
50,good,"['A', 'C', 'B', 'D']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'C', 'B', 'D']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'C', 'B', 'D']"
55,good,"['A', 'C', 'B', 'D']"
56,good,"['A', 'C', 'B', 'D']"
57,good,"['A', 'C', 'B', 'D']"
58,good,"['A', 'C', 'B', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'D', 'B']"
61,good,"['A', 'C', 'B', 'D']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'C', 'B', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'D', 'B']"
66,unsolvable,"['A', 'C', 'B', 'D']"
67,unsolvable,"['A', 'C', 'B', 'D']"
68,good,"['A', 'C', 'B', 'D']"
69,good,"['A', 'C', 'B', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['C', 'A', 'B', 'D']"
72,good,"['A', 'C', 'B', 'D']"
73,good,"['A', 'C', 'D', 'B']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'C', 'B', 'D']"
76,good,"['A', 'D', 'B', 'C']"
77,good,"['A', 'C', 'D', 'B']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'B', 'D']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'C', 'B', 'D']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'C', 'B', 'D']"
87,good,"['A', 'C', 'B', 'D']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['A', 'C', 'D', 'B']"
90,good,"['A', 'C', 'D', 'B']"
91,good,"['A', 'C', 'D', 'B']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'C', 'B', 'D']"
94,good,"['A', 'C', 'B', 'D']"
95,good,"['A', 'C', 'D', 'B']"
96,good,"['A', 'C', 'B', 'D']"
97,unsolvable,"['A', 'C', 'D', 'B']"
98,good,"['A', 'C', 'B', 'D']"
99,good,"['A', 'C', 'B', 'D']"
