Method,PGI,PGU
gpt-4-0125-preview-0125-preview_pgicl,0.371+/-0.042,0.205+/-0.035
gpt-4-0125-preview-0125-preview_v1,0.390+/-0.041,0.252+/-0.037
gpt-4_pgicl,0.386+/-0.038,0.238+/-0.036
gpt-4_v1,0.409+/-0.038,0.222+/-0.036
la,0.218+/-0.034,0.290+/-0.038
lc,0.216+/-0.035,0.303+/-0.037
ldl,0.297+/-0.040,0.265+/-0.038
lgshap,0.240+/-0.035,0.313+/-0.040
lgxa,0.327+/-0.042,0.272+/-0.039
lig,0.263+/-0.040,0.358+/-0.042
lime1000,0.429+/-0.040,0.181+/-0.031
lime16,0.396+/-0.041,0.171+/-0.032
random,0.304+/-0.032,0.281+/-0.034
