prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
213.0,4.0,0.00639,0.00023999999999999998,0.00663
