index,good/bad/unsolvable,reply
0,unsolvable,"['B', 'A', 'C', 'D', 'F']"
1,good,"['A', 'B', 'E', 'C', 'D']"
2,good,"['A', 'C', 'F', 'B', 'D']"
3,good,"['A', 'B', 'C', 'D', 'E']"
4,good,"['A', 'B', 'C', 'E', 'D']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['B', 'A', 'C', 'F', 'D']"
7,good,"['A', 'C', 'F', 'B', 'D']"
8,good,"['B', 'A', 'C', 'D', 'E']"
9,good,"['A', 'B', 'C', 'E', 'D']"
10,good,"['A', 'C', 'B', 'F', 'D']"
11,good,"['B', 'A', 'C', 'D', 'F']"
12,good,"['A', 'B', 'C', 'E', 'D']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,good,"['A', 'B', 'C', 'D', 'E']"
15,good,"['A', 'C', 'B', 'D', 'E']"
16,good,"['A', 'B', 'C', 'D', 'E']"
17,good,"['A', 'B', 'C', 'D', 'E']"
18,good,"['A', 'B', 'C', 'F', 'D']"
19,good,"['A', 'C', 'F', 'B', 'E']"
20,good,"['A', 'B', 'E', 'C', 'D']"
21,good,"['A', 'B', 'C', 'E', 'D']"
22,good,"['A', 'B', 'E', 'C', 'D']"
23,good,"['A', 'B', 'E', 'C', 'D']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['A', 'E', 'B', 'C', 'F']"
26,good,"['A', 'B', 'C', 'E', 'F']"
27,good,"['A', 'E', 'B', 'C', 'D']"
28,good,"['B', 'A', 'C', 'F', 'E']"
29,good,"['B', 'A', 'C', 'E', 'D']"
30,good,"['B', 'A', 'C', 'E', 'D']"
31,good,"['B', 'A', 'E', 'C', 'D']"
32,good,"['A', 'C', 'E', 'B', 'D']"
33,good,"['A', 'B', 'C', 'F', 'D']"
34,good,"['C', 'B', 'A', 'E', 'D']"
35,good,"['B', 'A', 'C', 'E', 'D']"
36,good,"['B', 'A', 'E', 'F', 'C']"
37,good,"['A', 'B', 'C', 'E', 'D']"
38,good,"['C', 'B', 'A', 'D', 'E']"
39,good,"['A', 'C', 'D', 'E', 'B']"
40,good,"['C', 'B', 'A', 'E', 'D']"
41,good,"['A', 'B', 'C', 'D', 'E']"
42,good,"['A', 'B', 'C', 'E', 'D']"
43,good,"['B', 'A', 'E', 'C', 'D']"
44,good,"['B', 'A', 'F', 'C', 'E']"
45,good,"['B', 'A', 'C', 'E', 'D']"
46,good,"['A', 'B', 'E', 'C', 'F']"
47,good,"['A', 'B', 'C', 'D', 'E']"
48,unsolvable,"['B', 'A', 'C', 'E', 'F']"
49,good,"['A', 'B', 'C', 'F', 'D']"
50,good,"['A', 'B', 'C', 'D', 'E']"
51,good,"['A', 'B', 'C', 'E', 'D']"
52,good,"['B', 'A', 'E', 'C', 'D']"
53,good,"['A', 'B', 'C', 'E', 'D']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,good,"['B', 'A', 'D', 'C', 'F']"
56,unsolvable,"['B', 'C', 'A', 'E', 'F']"
57,good,"['A', 'B', 'C', 'F', 'D']"
58,good,"['E', 'A', 'F', 'B', 'D']"
59,good,"['B', 'A', 'F', 'C', 'D']"
60,good,"['A', 'B', 'F', 'C', 'D']"
61,good,"['A', 'B', 'C', 'E', 'D']"
62,good,"['B', 'A', 'C', 'E', 'F']"
63,good,"['A', 'B', 'E', 'C', 'D']"
64,good,"['A', 'C', 'B', 'F', 'D']"
65,good,"['A', 'B', 'D', 'C', 'E']"
66,good,"['A', 'B', 'C', 'D', 'E']"
67,good,"['C', 'A', 'E', 'B', 'F']"
68,good,"['A', 'C', 'B', 'F', 'D']"
69,good,"['A', 'C', 'B', 'E', 'D']"
70,good,"['A', 'B', 'C', 'D', 'F']"
71,good,"['E', 'B', 'C', 'A', 'F']"
72,good,"['A', 'B', 'C', 'D', 'F']"
73,good,"['B', 'A', 'C', 'D', 'E']"
74,good,"['A', 'B', 'E', 'C', 'D']"
75,good,"['A', 'C', 'B', 'F', 'D']"
76,good,"['B', 'A', 'C', 'D', 'F']"
77,unsolvable,"['C', 'A', 'D', 'B', 'E']"
78,good,"['A', 'C', 'F', 'B', 'D']"
79,good,"['B', 'A', 'C', 'D', 'E']"
80,good,"['B', 'A', 'C', 'E', 'D']"
81,good,"['A', 'B', 'C', 'F', 'E']"
82,good,"['A', 'B', 'C', 'E', 'F']"
83,good,"['A', 'B', 'C', 'D', 'F']"
84,good,"['B', 'A', 'E', 'F', 'C']"
85,good,"['B', 'A', 'E', 'C', 'D']"
86,good,"['A', 'C', 'D', 'F', 'B']"
87,good,"['B', 'A', 'C', 'E', 'D']"
88,good,"['A', 'C', 'B', 'F', 'D']"
89,good,"['A', 'B', 'C', 'D', 'F']"
90,good,"['A', 'B', 'C', 'E', 'F']"
91,good,"['A', 'B', 'C', 'D', 'E']"
92,good,"['A', 'B', 'C', 'E', 'D']"
93,good,"['A', 'C', 'B', 'D', 'E']"
94,good,"['B', 'A', 'C', 'D', 'F']"
95,good,"['A', 'B', 'C', 'D', 'F']"
96,good,"['A', 'B', 'C', 'E', 'D']"
97,good,"['B', 'A', 'E', 'C', 'D']"
98,good,"['B', 'A', 'C', 'E', 'F']"
99,good,"['A', 'B', 'D', 'C', 'E']"
