prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
405.0,235.0,0.00405,0.00705,0.011099999999999999
388.0,389.0,0.0038799999999999998,0.01167,0.01555
470.0,405.0,0.0047,0.012150000000000001,0.01685
488.0,372.0,0.00488,0.01116,0.01604
467.0,207.0,0.00467,0.00621,0.01088
405.0,241.0,0.00405,0.0072299999999999994,0.011279999999999998
379.0,282.0,0.00379,0.008459999999999999,0.012249999999999999
420.0,230.0,0.004200000000000001,0.0069,0.0111
367.0,318.0,0.00367,0.00954,0.01321
448.0,293.0,0.0044800000000000005,0.00879,0.01327
480.0,233.0,0.0048,0.00699,0.011789999999999998
437.0,251.0,0.00437,0.007529999999999999,0.011899999999999999
412.0,344.0,0.00412,0.010320000000000001,0.014440000000000001
453.0,266.0,0.00453,0.00798,0.01251
561.0,263.0,0.00561,0.00789,0.0135
396.0,247.0,0.00396,0.00741,0.01137
487.0,324.0,0.00487,0.00972,0.014589999999999999
391.0,285.0,0.00391,0.008549999999999999,0.012459999999999999
462.0,305.0,0.00462,0.00915,0.013770000000000001
546.0,325.0,0.00546,0.00975,0.01521
455.0,320.0,0.00455,0.0096,0.01415
372.0,318.0,0.00372,0.00954,0.013260000000000001
407.0,194.0,0.004070000000000001,0.00582,0.00989
628.0,229.0,0.00628,0.00687,0.01315
394.0,241.0,0.00394,0.0072299999999999994,0.01117
526.0,245.0,0.00526,0.00735,0.01261
400.0,301.0,0.004,0.00903,0.01303
380.0,149.0,0.0038000000000000004,0.00447,0.00827
509.0,338.0,0.00509,0.010139999999999998,0.015229999999999997
445.0,212.0,0.00445,0.006359999999999999,0.01081
669.0,256.0,0.006690000000000001,0.007679999999999999,0.01437
382.0,261.0,0.0038200000000000005,0.00783,0.01165
404.0,281.0,0.00404,0.00843,0.01247
392.0,279.0,0.00392,0.008369999999999999,0.012289999999999999
399.0,226.0,0.0039900000000000005,0.00678,0.01077
377.0,274.0,0.00377,0.008219999999999998,0.011989999999999997
365.0,311.0,0.00365,0.00933,0.01298
389.0,274.0,0.0038900000000000002,0.008219999999999998,0.01211
408.0,294.0,0.00408,0.00882,0.0129
464.0,238.0,0.00464,0.00714,0.011779999999999999
480.0,271.0,0.0048,0.008129999999999998,0.012929999999999997
474.0,252.0,0.00474,0.00756,0.0123
452.0,344.0,0.004520000000000001,0.010320000000000001,0.014840000000000002
369.0,217.0,0.00369,0.00651,0.0102
374.0,359.0,0.0037400000000000003,0.01077,0.01451
579.0,247.0,0.00579,0.00741,0.0132
431.0,267.0,0.0043100000000000005,0.00801,0.012320000000000001
458.0,210.0,0.00458,0.0063,0.01088
567.0,233.0,0.00567,0.00699,0.01266
436.0,261.0,0.00436,0.00783,0.01219
417.0,285.0,0.00417,0.008549999999999999,0.012719999999999999
410.0,310.0,0.0040999999999999995,0.0093,0.013399999999999999
403.0,270.0,0.004030000000000001,0.0081,0.01213
492.0,328.0,0.00492,0.00984,0.014759999999999999
380.0,336.0,0.0038000000000000004,0.01008,0.01388
370.0,183.0,0.0037,0.00549,0.00919
414.0,322.0,0.00414,0.00966,0.0138
682.0,259.0,0.0068200000000000005,0.00777,0.01459
411.0,317.0,0.00411,0.00951,0.01362
462.0,246.0,0.00462,0.00738,0.012
579.0,326.0,0.00579,0.009779999999999999,0.015569999999999999
402.0,429.0,0.00402,0.01287,0.01689
415.0,279.0,0.00415,0.008369999999999999,0.01252
385.0,198.0,0.00385,0.005939999999999999,0.00979
467.0,245.0,0.00467,0.00735,0.01202
397.0,252.0,0.0039700000000000004,0.00756,0.01153
416.0,252.0,0.0041600000000000005,0.00756,0.011720000000000001
472.0,279.0,0.004719999999999999,0.008369999999999999,0.013089999999999997
381.0,259.0,0.00381,0.00777,0.01158
435.0,399.0,0.004350000000000001,0.011969999999999998,0.016319999999999998
511.0,229.0,0.00511,0.00687,0.011980000000000001
395.0,346.0,0.00395,0.010379999999999999,0.014329999999999999
439.0,282.0,0.00439,0.008459999999999999,0.012849999999999999
384.0,286.0,0.0038399999999999997,0.00858,0.01242
416.0,232.0,0.0041600000000000005,0.00696,0.011120000000000001
519.0,258.0,0.00519,0.0077399999999999995,0.01293
469.0,257.0,0.004690000000000001,0.00771,0.012400000000000001
383.0,419.0,0.00383,0.01257,0.016399999999999998
361.0,240.0,0.00361,0.007199999999999999,0.010809999999999998
403.0,306.0,0.004030000000000001,0.009179999999999999,0.01321
430.0,269.0,0.0043,0.00807,0.01237
455.0,253.0,0.00455,0.0075899999999999995,0.01214
392.0,277.0,0.00392,0.00831,0.01223
396.0,255.0,0.00396,0.00765,0.011609999999999999
493.0,241.0,0.0049299999999999995,0.0072299999999999994,0.012159999999999999
488.0,270.0,0.00488,0.0081,0.012979999999999998
376.0,328.0,0.0037600000000000003,0.00984,0.013600000000000001
386.0,299.0,0.0038599999999999997,0.008969999999999999,0.012829999999999998
624.0,278.0,0.00624,0.00834,0.01458
602.0,223.0,0.00602,0.00669,0.012709999999999999
475.0,203.0,0.00475,0.00609,0.010839999999999999
712.0,209.0,0.0071200000000000005,0.0062699999999999995,0.013389999999999999
475.0,346.0,0.00475,0.010379999999999999,0.015129999999999998
426.0,302.0,0.00426,0.00906,0.01332
665.0,320.0,0.0066500000000000005,0.0096,0.01625
427.0,282.0,0.00427,0.008459999999999999,0.012729999999999998
505.0,353.0,0.00505,0.01059,0.01564
369.0,295.0,0.00369,0.00885,0.01254
456.0,374.0,0.004560000000000001,0.011219999999999999,0.01578
513.0,229.0,0.00513,0.00687,0.012
