index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'J', 'A', 'I']"
1,good,"['D', 'L', 'A', 'B', 'K']"
2,good,"['D', 'E', 'A', 'I', 'J']"
3,good,"['D', 'L', 'A', 'B', 'I']"
4,good,"['D', 'J', 'B', 'H', 'A']"
5,good,"['D', 'I', 'E', 'B', 'H']"
6,good,"['A', 'B', 'C', 'D', 'E']"
7,good,"['L', 'M', 'D', 'J', 'K']"
8,good,"['D', 'G', 'A', 'B', 'E']"
9,good,"['D', 'A', 'B', 'J', 'C']"
10,good,"['D', 'E', 'A', 'J', 'K']"
11,good,"['D', 'J', 'B', 'H', 'I']"
12,good,"['D', 'E', 'K', 'J', 'A']"
13,good,"['D', 'E', 'L', 'A', 'J']"
14,good,"['G', 'D', 'E', 'J', 'L']"
15,good,"['D', 'B', 'E', 'A', 'C']"
16,good,"['J', 'D', 'E', 'A', 'F']"
17,good,"['L', 'K', 'D', 'J', 'B']"
18,good,"['D', 'B', 'J', 'K', 'E']"
19,good,"['D', 'E', 'A', 'J', 'L']"
20,good,"['D', 'A', 'B', 'E', 'C']"
21,good,"['D', 'J', 'H', 'B', 'I']"
22,good,"['D', 'J', 'A', 'L', 'B']"
23,good,"['D', 'J', 'E', 'L', 'A']"
24,good,"['D', 'E', 'M', 'K', 'A']"
25,good,"['D', 'A', 'B', 'L', 'C']"
26,good,"['D', 'L', 'G', 'C', 'J']"
27,good,"['D', 'J', 'I', 'K', 'L']"
28,good,"['J', 'D', 'G', 'K', 'A']"
29,good,"['D', 'A', 'B', 'E', 'G']"
30,good,"['A', 'B', 'C', 'D', 'E']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['D', 'H', 'A', 'I', 'B']"
33,good,"['D', 'A', 'B', 'H', 'C']"
34,good,"['D', 'A', 'G', 'L', 'B']"
35,good,"['C', 'D', 'E', 'A', 'H']"
36,good,"['D', 'C', 'E', 'A', 'B']"
37,good,"['K', 'D', 'A', 'H', 'M']"
38,good,"['D', 'E', 'A', 'B', 'J']"
39,good,"['D', 'K', 'B', 'I', 'J']"
40,good,"['D', 'E', 'C', 'J', 'I']"
41,good,"['D', 'E', 'J', 'A', 'B']"
42,good,"['D', 'E', 'L', 'A', 'I']"
43,good,"['D', 'B', 'J', 'A', 'C']"
44,good,"['A', 'B', 'D', 'E', 'L']"
45,good,"['D', 'E', 'K', 'I', 'A']"
46,good,"['H', 'J', 'D', 'A', 'I']"
47,good,"['E', 'H', 'D', 'J', 'B']"
48,good,"['D', 'A', 'B', 'E', 'H']"
49,good,"['H', 'D', 'J', 'A', 'I']"
50,good,"['D', 'E', 'K', 'J', 'M']"
51,good,"['A', 'B', 'D', 'E', 'C']"
52,good,"['D', 'I', 'B', 'J', 'E']"
53,good,"['A', 'B', 'C', 'D', 'E']"
54,good,"['D', 'K', 'A', 'H', 'L']"
55,good,"['D', 'A', 'E', 'B', 'C']"
56,good,"['D', 'H', 'L', 'A', 'M']"
57,good,"['D', 'E', 'A', 'B', 'J']"
58,good,"['K', 'D', 'J', 'A', 'B']"
59,good,"['A', 'B', 'C', 'D', 'E']"
60,good,"['C', 'D', 'J', 'A', 'E']"
61,good,"['A', 'B', 'C', 'D', 'E']"
62,good,"['L', 'K', 'D', 'J', 'I']"
63,good,"['D', 'A', 'B', 'E', 'C']"
64,good,"['D', 'B', 'A', 'K', 'E']"
65,good,"['C', 'D', 'E', 'F', 'B']"
66,good,"['J', 'D', 'E', 'A', 'B']"
67,good,"['M', 'D', 'E', 'A', 'B']"
68,good,"['D', 'E', 'A', 'B', 'K']"
69,good,"['D', 'A', 'B', 'L', 'C']"
70,good,"['A', 'D', 'B', 'H', 'L']"
71,good,"['D', 'A', 'L', 'J', 'B']"
72,good,"['D', 'A', 'K', 'E', 'I']"
73,good,"['C', 'D', 'E', 'L', 'M']"
74,good,"['D', 'C', 'H', 'I', 'J']"
75,good,"['D', 'C', 'J', 'A', 'I']"
76,good,"['D', 'C', 'A', 'I', 'L']"
77,good,"['D', 'B', 'A', 'C', 'E']"
78,good,"['A', 'B', 'C', 'D', 'E']"
79,good,"['J', 'D', 'K', 'E', 'L']"
80,good,"['D', 'E', 'A', 'L', 'B']"
81,good,"['D', 'H', 'A', 'L', 'B']"
82,good,"['D', 'B', 'E', 'A', 'C']"
83,good,"['D', 'J', 'E', 'H', 'A']"
84,good,"['D', 'B', 'A', 'H', 'I']"
85,good,"['A', 'B', 'D', 'C', 'E']"
86,unsolvable,"['D', 'G', 'C', 'A', 'J']"
87,good,"['D', 'A', 'E', 'J', 'L']"
88,good,"['D', 'E', 'H', 'A', 'I']"
89,good,"['D', 'A', 'L', 'B', 'I']"
90,good,"['D', 'E', 'B', 'J', 'A']"
91,good,"['D', 'M', 'A', 'L', 'B']"
92,good,"['A', 'D', 'M', 'B', 'H']"
93,good,"['E', 'D', 'J', 'A', 'B']"
94,good,"['A', 'D', 'H', 'B', 'E']"
95,good,"['D', 'B', 'L', 'K', 'J']"
96,good,"['D', 'K', 'A', 'B', 'J']"
97,good,"['A', 'B', 'C', 'D', 'E']"
98,good,"['J', 'D', 'I', 'K', 'A']"
99,good,"['D', 'H', 'A', 'J', 'K']"
