index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'F', 'A', 'M']"
1,good,"['D', 'A', 'B', 'E', 'F']"
2,good,"['D', 'I', 'F', 'G', 'H']"
3,good,"['D', 'A', 'B', 'E', 'F']"
4,good,"['D', 'A', 'C', 'B', 'E']"
5,good,"['D', 'B', 'F', 'C', 'E']"
6,good,"['D', 'A', 'C', 'G', 'B']"
7,good,"['A', 'C', 'D', 'E', 'G']"
8,good,"['D', 'F', 'A', 'C', 'B']"
9,good,"['D', 'E', 'A', 'G', 'M']"
10,good,"['A', 'D', 'E', 'F', 'M']"
11,good,"['D', 'A', 'B', 'I', 'E']"
12,good,"['D', 'B', 'H', 'I', 'G']"
13,good,"['D', 'B', 'A', 'F', 'I']"
14,good,"['D', 'C', 'A', 'B', 'I']"
15,good,"['D', 'A', 'C', 'E', 'J']"
16,good,"['D', 'J', 'E', 'A', 'H']"
17,good,"['A', 'D', 'C', 'B', 'G']"
18,good,"['D', 'E', 'A', 'C', 'J']"
19,good,"['D', 'G', 'K', 'A', 'B']"
20,good,"['D', 'E', 'A', 'B', 'F']"
21,good,"['A', 'D', 'I', 'J', 'M']"
22,good,"['D', 'A', 'B', 'G', 'E']"
23,good,"['D', 'E', 'G', 'A', 'H']"
24,bad,"['B', 'a', 's', 'e', 'd']"
25,good,"['D', 'H', 'J', 'F', 'I']"
26,good,"['D', 'A', 'B', 'E', 'F']"
27,good,"['D', 'C', 'B', 'A', 'G']"
28,good,"['D', 'A', 'I', 'H', 'C']"
29,good,"['D', 'F', 'E', 'G', 'H']"
30,good,"['D', 'F', 'E', 'I', 'B']"
31,good,"['D', 'F', 'I', 'J', 'L']"
32,good,"['F', 'B', 'D', 'C', 'H']"
33,good,"['D', 'B', 'C', 'I', 'J']"
34,good,"['D', 'B', 'C', 'A', 'E']"
35,good,"['D', 'A', 'C', 'E', 'G']"
36,good,"['A', 'D', 'E', 'M', 'G']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['A', 'D', 'E', 'F', 'I']"
39,good,"['D', 'C', 'A', 'G', 'F']"
40,good,"['D', 'F', 'G', 'H', 'I']"
41,good,"['D', 'A', 'C', 'G', 'B']"
42,good,"['D', 'A', 'B', 'G', 'F']"
43,good,"['D', 'A', 'B', 'C', 'F']"
44,good,"['D', 'I', 'A', 'B', 'F']"
45,good,"['D', 'B', 'C', 'A', 'E']"
46,good,"['D', 'C', 'B', 'A', 'J']"
47,good,"['D', 'A', 'B', 'I', 'H']"
48,good,"['D', 'I', 'J', 'B', 'A']"
49,good,"['A', 'D', 'B', 'I', 'M']"
50,good,"['D', 'A', 'C', 'E', 'I']"
51,good,"['A', 'D', 'E', 'B', 'F']"
52,good,"['A', 'D', 'F', 'C', 'B']"
53,good,"['D', 'F', 'J', 'G', 'I']"
54,good,"['D', 'A', 'C', 'H', 'E']"
55,good,"['D', 'A', 'C', 'H', 'I']"
56,good,"['D', 'C', 'H', 'A', 'B']"
57,good,"['D', 'B', 'F', 'I', 'H']"
58,good,"['D', 'A', 'B', 'G', 'J']"
59,good,"['D', 'F', 'I', 'J', 'K']"
60,good,"['A', 'D', 'F', 'K', 'L']"
61,good,"['D', 'A', 'F', 'B', 'G']"
62,good,"['D', 'B', 'A', 'H', 'F']"
63,good,"['D', 'B', 'C', 'A', 'E']"
64,good,"['D', 'C', 'E', 'F', 'A']"
65,good,"['D', 'A', 'J', 'I', 'M']"
66,good,"['D', 'B', 'A', 'E', 'L']"
67,good,"['F', 'I', 'L', 'D', 'H']"
68,good,"['A', 'D', 'G', 'I', 'L']"
69,good,"['D', 'A', 'E', 'C', 'F']"
70,good,"['D', 'F', 'H', 'B', 'A']"
71,good,"['D', 'A', 'B', 'G', 'M']"
72,good,"['D', 'B', 'F', 'E', 'I']"
73,good,"['D', 'M', 'A', 'B', 'H']"
74,good,"['I', 'K', 'M', 'D', 'F']"
75,good,"['D', 'C', 'B', 'E', 'F']"
76,good,"['A', 'D', 'I', 'J', 'F']"
77,good,"['D', 'B', 'A', 'E', 'F']"
78,good,"['D', 'F', 'H', 'B', 'C']"
79,good,"['D', 'F', 'I', 'B', 'A']"
80,good,"['A', 'D', 'B', 'J', 'M']"
81,good,"['D', 'G', 'B', 'F', 'C']"
82,good,"['D', 'B', 'E', 'A', 'C']"
83,good,"['A', 'D', 'F', 'K', 'L']"
84,good,"['A', 'D', 'B', 'E', 'F']"
85,good,"['D', 'C', 'B', 'A', 'G']"
86,unsolvable,"['I', 'G', 'C', 'F', 'H']"
87,good,"['D', 'G', 'I', 'J', 'K']"
88,good,"['D', 'A', 'I', 'B', 'H']"
89,good,"['D', 'B', 'A', 'I', 'H']"
90,good,"['D', 'C', 'F', 'I', 'B']"
91,good,"['D', 'B', 'H', 'C', 'M']"
92,good,"['D', 'E', 'F', 'A', 'B']"
93,good,"['D', 'J', 'B', 'A', 'C']"
94,good,"['D', 'I', 'J', 'L', 'M']"
95,good,"['D', 'C', 'B', 'F', 'G']"
96,good,"['D', 'E', 'F', 'K', 'M']"
97,good,"['A', 'D', 'C', 'F', 'I']"
98,good,"['D', 'A', 'B', 'I', 'M']"
99,good,"['D', 'B', 'A', 'E', 'F']"
