prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1392.0,217.0,0.04176,0.01302,0.054779999999999995
1392.0,180.0,0.04176,0.010799999999999999,0.052559999999999996
1392.0,242.0,0.04176,0.01452,0.05628
1392.0,246.0,0.04176,0.01476,0.05652
1392.0,218.0,0.04176,0.01308,0.05484
1392.0,342.0,0.04176,0.02052,0.06228
1392.0,251.0,0.04176,0.015059999999999999,0.056819999999999996
1392.0,231.0,0.04176,0.013859999999999999,0.055619999999999996
1392.0,226.0,0.04176,0.01356,0.055319999999999994
1392.0,247.0,0.04176,0.01482,0.05658
1392.0,242.0,0.04176,0.01452,0.05628
1392.0,304.0,0.04176,0.01824,0.06
1392.0,225.0,0.04176,0.0135,0.05526
1392.0,430.0,0.04176,0.0258,0.06756
1392.0,434.0,0.04176,0.02604,0.0678
1392.0,266.0,0.04176,0.01596,0.057719999999999994
1392.0,255.0,0.04176,0.0153,0.05706
1392.0,195.0,0.04176,0.011699999999999999,0.053459999999999994
1392.0,289.0,0.04176,0.01734,0.0591
1392.0,247.0,0.04176,0.01482,0.05658
1392.0,213.0,0.04176,0.01278,0.05454
1392.0,268.0,0.04176,0.016079999999999997,0.057839999999999996
1392.0,243.0,0.04176,0.01458,0.05634
1392.0,220.0,0.04176,0.0132,0.054959999999999995
1392.0,316.0,0.04176,0.01896,0.060719999999999996
1392.0,237.0,0.04176,0.014219999999999998,0.055979999999999995
1392.0,263.0,0.04176,0.01578,0.057539999999999994
1392.0,257.0,0.04176,0.01542,0.057179999999999995
1392.0,312.0,0.04176,0.01872,0.06048
1392.0,179.0,0.04176,0.01074,0.0525
1392.0,239.0,0.04176,0.01434,0.0561
1392.0,232.0,0.04176,0.01392,0.05568
1392.0,177.0,0.04176,0.01062,0.052379999999999996
1392.0,442.0,0.04176,0.02652,0.06828
1392.0,267.0,0.04176,0.01602,0.05778
1392.0,183.0,0.04176,0.01098,0.052739999999999995
1392.0,272.0,0.04176,0.01632,0.05808
1392.0,447.0,0.04176,0.02682,0.06858
1392.0,249.0,0.04176,0.01494,0.0567
1392.0,261.0,0.04176,0.01566,0.05742
1392.0,258.0,0.04176,0.015479999999999999,0.05724
1392.0,265.0,0.04176,0.015899999999999997,0.057659999999999996
1392.0,236.0,0.04176,0.01416,0.05592
1392.0,298.0,0.04176,0.01788,0.05964
1392.0,302.0,0.04176,0.01812,0.05988
1392.0,358.0,0.04176,0.02148,0.06323999999999999
1392.0,233.0,0.04176,0.01398,0.05574
1392.0,333.0,0.04176,0.01998,0.06174
1392.0,268.0,0.04176,0.016079999999999997,0.057839999999999996
1392.0,296.0,0.04176,0.017759999999999998,0.059519999999999997
1392.0,365.0,0.04176,0.0219,0.06366
1392.0,267.0,0.04176,0.01602,0.05778
1392.0,307.0,0.04176,0.01842,0.06018
1392.0,310.0,0.04176,0.0186,0.06036
1392.0,237.0,0.04176,0.014219999999999998,0.055979999999999995
1392.0,241.0,0.04176,0.014459999999999999,0.05622
1392.0,420.0,0.04176,0.0252,0.06695999999999999
1392.0,274.0,0.04176,0.016439999999999996,0.058199999999999995
1392.0,210.0,0.04176,0.0126,0.05436
1392.0,231.0,0.04176,0.013859999999999999,0.055619999999999996
1392.0,315.0,0.04176,0.0189,0.06066
1392.0,207.0,0.04176,0.01242,0.05418
1392.0,383.0,0.04176,0.02298,0.06473999999999999
1392.0,259.0,0.04176,0.01554,0.0573
1392.0,174.0,0.04176,0.01044,0.052199999999999996
1392.0,381.0,0.04176,0.02286,0.06462
1392.0,172.0,0.04176,0.010320000000000001,0.05208
1392.0,244.0,0.04176,0.014639999999999999,0.0564
1392.0,115.0,0.04176,0.0069,0.048659999999999995
1392.0,177.0,0.04176,0.01062,0.052379999999999996
1392.0,232.0,0.04176,0.01392,0.05568
1392.0,238.0,0.04176,0.01428,0.05604
1392.0,223.0,0.04176,0.01338,0.055139999999999995
1392.0,1484.0,0.04176,0.08904,0.1308
1392.0,274.0,0.04176,0.016439999999999996,0.058199999999999995
1392.0,173.0,0.04176,0.010379999999999999,0.05214
1392.0,257.0,0.04176,0.01542,0.057179999999999995
1392.0,237.0,0.04176,0.014219999999999998,0.055979999999999995
1392.0,150.0,0.04176,0.009,0.05076
1392.0,310.0,0.04176,0.0186,0.06036
1392.0,273.0,0.04176,0.01638,0.05814
1392.0,257.0,0.04176,0.01542,0.057179999999999995
1392.0,221.0,0.04176,0.01326,0.05502
1392.0,270.0,0.04176,0.0162,0.05796
1392.0,265.0,0.04176,0.015899999999999997,0.057659999999999996
1392.0,315.0,0.04176,0.0189,0.06066
1392.0,144.0,0.04176,0.00864,0.0504
1392.0,263.0,0.04176,0.01578,0.057539999999999994
1392.0,403.0,0.04176,0.02418,0.06594
1392.0,1378.0,0.04176,0.08267999999999999,0.12444
1392.0,189.0,0.04176,0.01134,0.053099999999999994
1392.0,161.0,0.04176,0.00966,0.05142
1392.0,159.0,0.04176,0.00954,0.0513
1392.0,263.0,0.04176,0.01578,0.057539999999999994
1392.0,174.0,0.04176,0.01044,0.052199999999999996
1392.0,247.0,0.04176,0.01482,0.05658
1392.0,228.0,0.04176,0.01368,0.055439999999999996
1392.0,231.0,0.04176,0.013859999999999999,0.055619999999999996
1392.0,275.0,0.04176,0.0165,0.05826
1392.0,202.0,0.04176,0.012119999999999999,0.05388
