prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1608.0,459.0,0.04824,0.02754,0.07578
1608.0,615.0,0.04824,0.036899999999999995,0.08514
1608.0,646.0,0.04824,0.038759999999999996,0.087
1608.0,994.0,0.04824,0.05964,0.10788
1608.0,386.0,0.04824,0.02316,0.07139999999999999
1608.0,588.0,0.04824,0.03528,0.08352
1608.0,464.0,0.04824,0.02784,0.07608
1608.0,552.0,0.04824,0.03312,0.08135999999999999
1608.0,445.0,0.04824,0.026699999999999998,0.07493999999999999
1608.0,926.0,0.04824,0.05556,0.1038
1608.0,908.0,0.04824,0.054479999999999994,0.10271999999999999
1608.0,517.0,0.04824,0.03102,0.07926
1608.0,626.0,0.04824,0.037559999999999996,0.08579999999999999
1608.0,585.0,0.04824,0.0351,0.08334
1608.0,460.0,0.04824,0.0276,0.07583999999999999
1608.0,655.0,0.04824,0.039299999999999995,0.08753999999999999
1608.0,489.0,0.04824,0.02934,0.07758
1608.0,477.0,0.04824,0.028619999999999996,0.07686
1608.0,476.0,0.04824,0.02856,0.0768
1608.0,589.0,0.04824,0.035339999999999996,0.08357999999999999
1608.0,620.0,0.04824,0.0372,0.08543999999999999
1608.0,427.0,0.04824,0.025619999999999997,0.07386
1608.0,662.0,0.04824,0.03972,0.08796
1608.0,961.0,0.04824,0.057659999999999996,0.1059
1608.0,529.0,0.04824,0.03174,0.07998
1608.0,533.0,0.04824,0.03198,0.08022
1608.0,978.0,0.04824,0.05868,0.10692
1608.0,561.0,0.04824,0.033659999999999995,0.0819
1608.0,489.0,0.04824,0.02934,0.07758
1608.0,606.0,0.04824,0.036359999999999996,0.0846
1608.0,369.0,0.04824,0.02214,0.07038
1608.0,502.0,0.04824,0.030119999999999997,0.07836
1608.0,449.0,0.04824,0.02694,0.07518
1608.0,438.0,0.04824,0.026279999999999998,0.07452
1608.0,654.0,0.04824,0.039240000000000004,0.08748
1608.0,598.0,0.04824,0.035879999999999995,0.08412
1608.0,500.0,0.04824,0.03,0.07824
1608.0,397.0,0.04824,0.02382,0.07206
1608.0,687.0,0.04824,0.04122,0.08946
1608.0,453.0,0.04824,0.02718,0.07542
1608.0,823.0,0.04824,0.04937999999999999,0.09761999999999998
1608.0,907.0,0.04824,0.054419999999999996,0.10266
1608.0,919.0,0.04824,0.05514,0.10338
1608.0,272.0,0.04824,0.01632,0.06456
1608.0,404.0,0.04824,0.024239999999999998,0.07247999999999999
1608.0,811.0,0.04824,0.048659999999999995,0.09689999999999999
1608.0,425.0,0.04824,0.0255,0.07374
1608.0,639.0,0.04824,0.03834,0.08657999999999999
1608.0,584.0,0.04824,0.03504,0.08327999999999999
1608.0,643.0,0.04824,0.038579999999999996,0.08682
1608.0,664.0,0.04824,0.039839999999999993,0.08807999999999999
1608.0,454.0,0.04824,0.027239999999999997,0.07547999999999999
1608.0,422.0,0.04824,0.02532,0.07356
1608.0,616.0,0.04824,0.03696,0.0852
1608.0,519.0,0.04824,0.03114,0.07938
1608.0,785.0,0.04824,0.0471,0.09534000000000001
1608.0,459.0,0.04824,0.02754,0.07578
1608.0,592.0,0.04824,0.035519999999999996,0.08376
1608.0,575.0,0.04824,0.0345,0.08274000000000001
1608.0,795.0,0.04824,0.04769999999999999,0.09594
1608.0,776.0,0.04824,0.04656,0.0948
1608.0,619.0,0.04824,0.03714,0.08538
1608.0,471.0,0.04824,0.028259999999999997,0.0765
1608.0,597.0,0.04824,0.03582,0.08406
1608.0,691.0,0.04824,0.041460000000000004,0.0897
1608.0,549.0,0.04824,0.03294,0.08118
1608.0,634.0,0.04824,0.03804,0.08628
1608.0,464.0,0.04824,0.02784,0.07608
1608.0,679.0,0.04824,0.040740000000000005,0.08898
1608.0,437.0,0.04824,0.02622,0.07446
1608.0,625.0,0.04824,0.0375,0.08574
1608.0,601.0,0.04824,0.036059999999999995,0.08429999999999999
1608.0,569.0,0.04824,0.034140000000000004,0.08238000000000001
1608.0,571.0,0.04824,0.03426,0.08249999999999999
1608.0,623.0,0.04824,0.03738,0.08562
1608.0,838.0,0.04824,0.05028,0.09852
1608.0,500.0,0.04824,0.03,0.07824
1608.0,542.0,0.04824,0.03251999999999999,0.08076
1608.0,580.0,0.04824,0.0348,0.08304
1608.0,496.0,0.04824,0.029759999999999998,0.078
1608.0,796.0,0.04824,0.04776,0.096
1608.0,598.0,0.04824,0.035879999999999995,0.08412
1608.0,641.0,0.04824,0.03846,0.0867
1608.0,629.0,0.04824,0.03774,0.08598
1608.0,574.0,0.04824,0.03444,0.08268
1608.0,765.0,0.04824,0.045899999999999996,0.09414
1608.0,782.0,0.04824,0.04692,0.09516
1608.0,132.0,0.04824,0.00792,0.05616
1608.0,433.0,0.04824,0.02598,0.07422
1608.0,620.0,0.04824,0.0372,0.08543999999999999
1608.0,576.0,0.04824,0.03456,0.0828
1608.0,612.0,0.04824,0.036719999999999996,0.08496
1608.0,548.0,0.04824,0.03287999999999999,0.08112
1608.0,624.0,0.04824,0.03744,0.08568
1608.0,503.0,0.04824,0.03018,0.07841999999999999
1608.0,647.0,0.04824,0.03882,0.08706
1608.0,531.0,0.04824,0.03186,0.0801
1608.0,570.0,0.04824,0.034199999999999994,0.08243999999999999
1608.0,588.0,0.04824,0.03528,0.08352
1608.0,599.0,0.04824,0.03594,0.08418
