prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
491.0,596.0,0.00491,0.01788,0.02279
590.0,675.0,0.005900000000000001,0.02025,0.02615
1262.0,594.0,0.012620000000000001,0.01782,0.030440000000000002
671.0,710.0,0.00671,0.0213,0.02801
813.0,621.0,0.00813,0.01863,0.02676
587.0,678.0,0.00587,0.02034,0.02621
526.0,546.0,0.00526,0.01638,0.02164
786.0,628.0,0.00786,0.01884,0.0267
534.0,519.0,0.00534,0.01557,0.02091
675.0,516.0,0.00675,0.015479999999999999,0.02223
549.0,472.0,0.00549,0.01416,0.01965
518.0,683.0,0.00518,0.020489999999999998,0.02567
461.0,454.0,0.00461,0.013619999999999998,0.01823
723.0,702.0,0.00723,0.02106,0.02829
651.0,507.0,0.00651,0.01521,0.02172
573.0,714.0,0.005730000000000001,0.021419999999999998,0.02715
658.0,520.0,0.00658,0.0156,0.02218
453.0,544.0,0.00453,0.01632,0.02085
607.0,613.0,0.00607,0.01839,0.02446
634.0,466.0,0.00634,0.01398,0.020319999999999998
484.0,525.0,0.00484,0.01575,0.02059
756.0,437.0,0.007560000000000001,0.01311,0.02067
994.0,405.0,0.00994,0.012150000000000001,0.02209
820.0,558.0,0.008199999999999999,0.016739999999999998,0.024939999999999997
625.0,481.0,0.00625,0.01443,0.02068
669.0,530.0,0.006690000000000001,0.015899999999999997,0.02259
539.0,599.0,0.00539,0.01797,0.02336
829.0,864.0,0.00829,0.02592,0.03421
682.0,641.0,0.0068200000000000005,0.01923,0.02605
518.0,614.0,0.00518,0.01842,0.0236
498.0,415.0,0.00498,0.01245,0.01743
461.0,457.0,0.00461,0.013709999999999998,0.01832
651.0,559.0,0.00651,0.01677,0.023280000000000002
500.0,626.0,0.005,0.018779999999999998,0.02378
500.0,661.0,0.005,0.019829999999999997,0.024829999999999998
589.0,596.0,0.005889999999999999,0.01788,0.02377
678.0,572.0,0.0067800000000000004,0.01716,0.023940000000000003
545.0,532.0,0.00545,0.01596,0.02141
774.0,588.0,0.00774,0.01764,0.02538
958.0,621.0,0.00958,0.01863,0.02821
618.0,762.0,0.00618,0.02286,0.029039999999999996
772.0,755.0,0.007719999999999999,0.02265,0.03037
560.0,572.0,0.005600000000000001,0.01716,0.022760000000000002
519.0,568.0,0.00519,0.01704,0.02223
809.0,493.0,0.00809,0.01479,0.022879999999999998
810.0,679.0,0.0081,0.020370000000000003,0.028470000000000002
645.0,697.0,0.00645,0.02091,0.027360000000000002
488.0,463.0,0.00488,0.01389,0.01877
578.0,828.0,0.00578,0.02484,0.03062
597.0,505.0,0.00597,0.015149999999999999,0.02112
746.0,447.0,0.00746,0.01341,0.02087
628.0,621.0,0.00628,0.01863,0.02491
664.0,620.0,0.006640000000000001,0.0186,0.02524
472.0,453.0,0.004719999999999999,0.01359,0.01831
494.0,463.0,0.004940000000000001,0.01389,0.01883
498.0,682.0,0.00498,0.020460000000000002,0.025440000000000004
607.0,377.0,0.00607,0.011309999999999999,0.01738
563.0,532.0,0.00563,0.01596,0.021589999999999998
513.0,592.0,0.00513,0.017759999999999998,0.022889999999999997
758.0,616.0,0.00758,0.01848,0.02606
488.0,605.0,0.00488,0.01815,0.02303
663.0,642.0,0.00663,0.01926,0.02589
575.0,530.0,0.00575,0.015899999999999997,0.021649999999999996
499.0,544.0,0.0049900000000000005,0.01632,0.021310000000000003
477.0,442.0,0.004770000000000001,0.01326,0.01803
647.0,572.0,0.00647,0.01716,0.02363
469.0,422.0,0.004690000000000001,0.01266,0.01735
455.0,481.0,0.00455,0.01443,0.01898
834.0,383.0,0.00834,0.01149,0.01983
622.0,467.0,0.00622,0.01401,0.020229999999999998
705.0,483.0,0.00705,0.01449,0.02154
504.0,468.0,0.00504,0.014039999999999999,0.01908
493.0,592.0,0.0049299999999999995,0.017759999999999998,0.02269
550.0,544.0,0.0055,0.01632,0.02182
534.0,507.0,0.00534,0.01521,0.02055
838.0,703.0,0.00838,0.02109,0.029470000000000003
482.0,428.0,0.0048200000000000005,0.01284,0.017660000000000002
528.0,572.0,0.00528,0.01716,0.02244
499.0,565.0,0.0049900000000000005,0.01695,0.02194
718.0,458.0,0.00718,0.01374,0.02092
595.0,599.0,0.00595,0.01797,0.02392
626.0,550.0,0.00626,0.0165,0.022760000000000002
513.0,457.0,0.00513,0.013709999999999998,0.01884
694.0,526.0,0.00694,0.01578,0.022719999999999997
511.0,552.0,0.00511,0.01656,0.02167
558.0,448.0,0.00558,0.013439999999999999,0.01902
665.0,783.0,0.0066500000000000005,0.023489999999999997,0.030139999999999997
515.0,655.0,0.00515,0.019649999999999997,0.024799999999999996
536.0,516.0,0.00536,0.015479999999999999,0.020839999999999997
595.0,566.0,0.00595,0.016980000000000002,0.022930000000000002
751.0,696.0,0.00751,0.02088,0.02839
513.0,447.0,0.00513,0.01341,0.01854
495.0,585.0,0.00495,0.01755,0.0225
680.0,500.0,0.0068,0.015,0.0218
591.0,397.0,0.00591,0.01191,0.017820000000000003
580.0,545.0,0.0058,0.016349999999999996,0.022149999999999996
535.0,672.0,0.005350000000000001,0.02016,0.02551
580.0,392.0,0.0058,0.01176,0.01756
463.0,363.0,0.00463,0.010889999999999999,0.015519999999999999
509.0,537.0,0.00509,0.01611,0.0212
