index,good/bad/unsolvable,reply
0,good,"['G', 'A', 'I', 'D', 'H']"
1,good,"['A', 'D', 'F', 'H', 'E']"
2,good,"['A', 'D', 'G', 'E', 'B']"
3,good,"['G', 'A', 'H', 'D', 'F']"
4,good,"['A', 'E', 'F', 'I', 'C']"
5,good,"['G', 'I', 'A', 'F', 'C']"
6,good,"['H', 'A', 'G', 'I', 'D']"
7,good,"['A', 'D', 'G', 'I', 'E']"
8,good,"['A', 'E', 'F', 'I', 'D']"
9,good,"['A', 'E', 'D', 'B', 'J']"
10,good,"['F', 'A', 'D', 'G', 'B']"
11,good,"['A', 'F', 'G', 'D', 'I']"
12,good,"['A', 'D', 'E', 'G', 'I']"
13,good,"['G', 'A', 'I', 'E', 'D']"
14,good,"['A', 'D', 'G', 'F', 'B']"
15,good,"['A', 'G', 'H', 'I', 'J']"
16,good,"['F', 'E', 'A', 'G', 'I']"
17,good,"['H', 'A', 'I', 'E', 'G']"
18,good,"['A', 'F', 'G', 'I', 'E']"
19,good,"['H', 'A', 'E', 'G', 'D']"
20,good,"['G', 'A', 'I', 'D', 'B']"
21,good,"['A', 'E', 'D', 'H', 'B']"
22,good,"['A', 'H', 'D', 'G', 'E']"
23,good,"['A', 'G', 'F', 'I', 'B']"
24,good,"['F', 'A', 'G', 'H', 'D']"
25,good,"['E', 'A', 'F', 'G', 'I']"
26,good,"['A', 'D', 'F', 'H', 'B']"
27,good,"['A', 'F', 'E', 'I', 'G']"
28,good,"['H', 'A', 'F', 'G', 'I']"
29,good,"['A', 'C', 'I', 'D', 'F']"
30,good,"['G', 'A', 'C', 'D', 'H']"
31,good,"['A', 'I', 'E', 'G', 'B']"
32,good,"['E', 'A', 'G', 'F', 'D']"
33,good,"['A', 'E', 'G', 'I', 'D']"
34,good,"['A', 'D', 'G', 'I', 'F']"
35,good,"['A', 'D', 'E', 'H', 'G']"
36,good,"['A', 'G', 'F', 'D', 'I']"
37,good,"['A', 'D', 'F', 'H', 'G']"
38,good,"['A', 'G', 'D', 'B', 'E']"
39,good,"['A', 'I', 'D', 'G', 'H']"
40,good,"['A', 'E', 'H', 'B', 'F']"
41,good,"['A', 'G', 'E', 'I', 'H']"
42,good,"['A', 'G', 'H', 'F', 'C']"
43,good,"['I', 'A', 'D', 'F', 'G']"
44,good,"['A', 'E', 'G', 'D', 'H']"
45,good,"['A', 'D', 'C', 'I', 'F']"
46,good,"['A', 'E', 'G', 'F', 'I']"
47,good,"['E', 'A', 'D', 'H', 'F']"
48,good,"['A', 'G', 'I', 'E', 'D']"
49,good,"['A', 'G', 'F', 'D', 'H']"
50,good,"['A', 'D', 'G', 'I', 'C']"
51,good,"['A', 'G', 'I', 'D', 'B']"
52,good,"['A', 'G', 'F', 'C', 'I']"
53,good,"['A', 'G', 'J', 'D', 'F']"
54,good,"['A', 'F', 'D', 'G', 'J']"
55,good,"['A', 'G', 'E', 'F', 'I']"
56,good,"['A', 'I', 'E', 'H', 'G']"
57,good,"['D', 'A', 'G', 'I', 'B']"
58,good,"['A', 'E', 'F', 'G', 'I']"
59,good,"['A', 'E', 'H', 'C', 'I']"
60,good,"['D', 'G', 'A', 'I', 'C']"
61,good,"['A', 'F', 'C', 'D', 'I']"
62,good,"['F', 'I', 'A', 'G', 'E']"
63,good,"['A', 'H', 'D', 'J', 'G']"
64,good,"['A', 'G', 'D', 'I', 'F']"
65,good,"['A', 'F', 'I', 'H', 'B']"
66,good,"['A', 'D', 'G', 'E', 'I']"
67,good,"['A', 'H', 'F', 'G', 'D']"
68,unsolvable,"['D', 'H', 'A', 'C', 'I']"
69,good,"['A', 'E', 'G', 'C', 'D']"
70,good,"['E', 'A', 'C', 'H', 'D']"
71,good,"['A', 'E', 'G', 'D', 'I']"
72,good,"['A', 'E', 'I', 'G', 'D']"
73,good,"['A', 'G', 'F', 'I', 'E']"
74,good,"['I', 'F', 'A', 'G', 'C']"
75,unsolvable,"['G', 'E', 'H', 'A', 'J']"
76,good,"['A', 'C', 'I', 'G', 'D']"
77,good,"['H', 'E', 'A', 'G', 'J']"
78,good,"['H', 'A', 'D', 'E', 'I']"
79,good,"['A', 'E', 'H', 'D', 'G']"
80,good,"['A', 'I', 'H', 'D', 'G']"
81,good,"['A', 'E', 'D', 'G', 'I']"
82,good,"['G', 'A', 'E', 'H', 'F']"
83,good,"['A', 'G', 'H', 'D', 'I']"
84,good,"['A', 'G', 'E', 'F', 'D']"
85,good,"['F', 'E', 'A', 'H', 'D']"
86,good,"['A', 'E', 'G', 'J', 'D']"
87,good,"['D', 'G', 'A', 'E', 'I']"
88,good,"['A', 'F', 'G', 'D', 'I']"
89,good,"['G', 'A', 'H', 'D', 'E']"
90,good,"['A', 'D', 'H', 'E', 'F']"
91,good,"['G', 'C', 'F', 'A', 'B']"
92,good,"['A', 'F', 'G', 'I', 'D']"
93,good,"['A', 'F', 'G', 'I', 'E']"
94,good,"['A', 'C', 'D', 'I', 'F']"
95,good,"['A', 'G', 'E', 'H', 'B']"
96,good,"['G', 'A', 'I', 'D', 'F']"
97,good,"['A', 'G', 'D', 'H', 'E']"
98,good,"['G', 'D', 'A', 'I', 'F']"
99,good,"['E', 'A', 'F', 'D', 'G']"
