index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'E', 'D']"
1,good,"['A', 'C', 'B', 'F', 'E']"
2,good,"['B', 'A', 'C', 'F', 'E']"
3,good,"['A', 'B', 'C', 'F', 'D']"
4,good,"['B', 'C', 'E', 'A', 'F']"
5,good,"['B', 'C', 'A', 'D', 'E']"
6,good,"['A', 'C', 'B', 'F', 'E']"
7,good,"['B', 'C', 'A', 'E', 'F']"
8,good,"['B', 'E', 'C', 'A', 'F']"
9,good,"['C', 'B', 'A', 'F', 'D']"
10,good,"['A', 'C', 'B', 'D', 'E']"
11,good,"['C', 'A', 'D', 'E', 'F']"
12,good,"['C', 'A', 'B', 'F', 'D']"
13,good,"['B', 'C', 'E', 'F', 'D']"
14,good,"['B', 'A', 'C', 'D', 'F']"
15,good,"['C', 'A', 'B', 'F', 'E']"
16,good,"['A', 'C', 'B', 'E', 'F']"
17,good,"['A', 'B', 'C', 'F', 'E']"
18,good,"['A', 'C', 'B', 'E', 'D']"
19,good,"['A', 'D', 'C', 'B', 'F']"
20,good,"['A', 'C', 'B', 'D', 'E']"
21,good,"['B', 'C', 'A', 'D', 'E']"
22,good,"['C', 'B', 'A', 'D', 'E']"
23,good,"['A', 'C', 'B', 'E', 'D']"
24,good,"['A', 'B', 'C', 'F', 'E']"
25,good,"['A', 'F', 'B', 'C', 'E']"
26,good,"['C', 'A', 'B', 'F', 'E']"
27,good,"['A', 'C', 'B', 'F', 'E']"
28,good,"['A', 'B', 'C', 'F', 'E']"
29,good,"['A', 'B', 'C', 'F', 'E']"
30,good,"['C', 'B', 'A', 'F', 'E']"
31,good,"['B', 'C', 'A', 'F', 'E']"
32,good,"['A', 'B', 'C', 'D', 'F']"
33,good,"['C', 'A', 'D', 'E', 'F']"
34,good,"['B', 'A', 'C', 'F', 'E']"
35,good,"['B', 'A', 'C', 'F', 'D']"
36,good,"['A', 'C', 'B', 'E', 'F']"
37,good,"['C', 'A', 'B', 'F', 'E']"
38,good,"['C', 'B', 'A', 'E', 'F']"
39,good,"['C', 'A', 'B', 'E', 'F']"
40,good,"['B', 'A', 'C', 'F', 'D']"
41,good,"['C', 'A', 'B', 'F', 'E']"
42,good,"['A', 'C', 'B', 'F', 'E']"
43,good,"['A', 'F', 'B', 'C', 'D']"
44,good,"['B', 'C', 'A', 'F', 'D']"
45,good,"['B', 'A', 'C', 'D', 'F']"
46,good,"['A', 'B', 'C', 'F', 'E']"
47,good,"['A', 'B', 'C', 'E', 'D']"
48,good,"['C', 'B', 'E', 'D', 'F']"
49,good,"['A', 'B', 'C', 'F', 'D']"
50,good,"['A', 'B', 'C', 'E', 'F']"
51,good,"['A', 'C', 'B', 'F', 'D']"
52,good,"['A', 'C', 'B', 'F', 'E']"
53,good,"['A', 'B', 'C', 'E', 'F']"
54,good,"['C', 'A', 'B', 'E', 'F']"
55,good,"['A', 'B', 'C', 'E', 'F']"
56,good,"['A', 'B', 'C', 'D', 'F']"
57,good,"['A', 'B', 'C', 'F', 'D']"
58,good,"['A', 'D', 'C', 'B', 'E']"
59,good,"['C', 'A', 'B', 'F', 'E']"
60,good,"['A', 'D', 'B', 'C', 'F']"
61,good,"['A', 'C', 'B', 'F', 'D']"
62,good,"['B', 'A', 'C', 'F', 'E']"
63,good,"['A', 'B', 'C', 'F', 'E']"
64,good,"['B', 'C', 'A', 'D', 'E']"
65,good,"['C', 'B', 'A', 'E', 'F']"
66,good,"['C', 'A', 'B', 'D', 'E']"
67,good,"['C', 'A', 'B', 'F', 'E']"
68,good,"['B', 'C', 'A', 'F', 'D']"
69,good,"['A', 'C', 'B', 'F', 'D']"
70,good,"['B', 'C', 'A', 'E', 'F']"
71,good,"['A', 'C', 'B', 'F', 'E']"
72,good,"['C', 'A', 'B', 'E', 'F']"
73,good,"['A', 'C', 'B', 'F', 'D']"
74,good,"['A', 'C', 'B', 'F', 'D']"
75,good,"['A', 'C', 'B', 'E', 'F']"
76,good,"['A', 'C', 'B', 'E', 'F']"
77,good,"['C', 'B', 'E', 'F', 'A']"
78,good,"['A', 'B', 'C', 'F', 'E']"
79,good,"['C', 'A', 'B', 'F', 'D']"
80,good,"['C', 'E', 'B', 'A', 'F']"
81,good,"['B', 'C', 'A', 'F', 'E']"
82,good,"['C', 'A', 'B', 'F', 'E']"
83,good,"['A', 'C', 'B', 'F', 'E']"
84,good,"['C', 'B', 'A', 'F', 'E']"
85,good,"['A', 'C', 'B', 'F', 'E']"
86,good,"['A', 'C', 'B', 'F', 'E']"
87,good,"['C', 'A', 'B', 'E', 'D']"
88,good,"['A', 'C', 'B', 'E', 'F']"
89,good,"['C', 'A', 'B', 'F', 'E']"
90,good,"['C', 'B', 'A', 'F', 'E']"
91,good,"['C', 'B', 'A', 'F', 'E']"
92,good,"['C', 'A', 'D', 'B', 'E']"
93,good,"['A', 'D', 'B', 'C', 'E']"
94,good,"['A', 'C', 'B', 'F', 'E']"
95,good,"['C', 'B', 'A', 'D', 'F']"
96,good,"['B', 'A', 'C', 'F', 'E']"
97,good,"['A', 'C', 'B', 'D', 'E']"
98,good,"['B', 'A', 'C', 'F', 'E']"
99,good,"['C', 'A', 'B', 'E', 'F']"
