prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1148.0,713.0,0.01148,0.02139,0.032869999999999996
1148.0,497.0,0.01148,0.01491,0.02639
1148.0,636.0,0.01148,0.01908,0.03056
1148.0,501.0,0.01148,0.01503,0.02651
1148.0,605.0,0.01148,0.01815,0.02963
1148.0,582.0,0.01148,0.01746,0.02894
1148.0,529.0,0.01148,0.01587,0.02735
1148.0,585.0,0.01148,0.01755,0.02903
1148.0,700.0,0.01148,0.021,0.03248
1148.0,549.0,0.01148,0.01647,0.02795
1148.0,504.0,0.01148,0.01512,0.0266
1148.0,566.0,0.01148,0.016980000000000002,0.028460000000000003
1148.0,517.0,0.01148,0.01551,0.02699
1148.0,496.0,0.01148,0.014879999999999999,0.02636
1148.0,585.0,0.01148,0.01755,0.02903
1148.0,756.0,0.01148,0.02268,0.034159999999999996
1148.0,611.0,0.01148,0.01833,0.02981
1148.0,604.0,0.01148,0.01812,0.0296
1148.0,560.0,0.01148,0.016800000000000002,0.028280000000000003
1148.0,785.0,0.01148,0.02355,0.035030000000000006
1148.0,572.0,0.01148,0.01716,0.028640000000000002
1148.0,567.0,0.01148,0.017009999999999997,0.028489999999999998
1148.0,671.0,0.01148,0.02013,0.03161
1148.0,546.0,0.01148,0.01638,0.02786
1148.0,636.0,0.01148,0.01908,0.03056
1148.0,674.0,0.01148,0.02022,0.0317
1148.0,675.0,0.01148,0.02025,0.03173
1148.0,552.0,0.01148,0.01656,0.02804
1148.0,538.0,0.01148,0.01614,0.027620000000000002
1148.0,679.0,0.01148,0.020370000000000003,0.03185
1148.0,646.0,0.01148,0.019379999999999998,0.03086
1148.0,543.0,0.01148,0.01629,0.02777
1148.0,729.0,0.01148,0.021869999999999997,0.03335
1148.0,470.0,0.01148,0.0141,0.02558
1148.0,598.0,0.01148,0.017939999999999998,0.029419999999999998
1148.0,447.0,0.01148,0.01341,0.024890000000000002
1148.0,648.0,0.01148,0.01944,0.03092
1148.0,599.0,0.01148,0.01797,0.02945
1148.0,496.0,0.01148,0.014879999999999999,0.02636
1148.0,585.0,0.01148,0.01755,0.02903
1148.0,636.0,0.01148,0.01908,0.03056
1148.0,533.0,0.01148,0.01599,0.02747
1148.0,568.0,0.01148,0.01704,0.02852
1148.0,559.0,0.01148,0.01677,0.02825
1148.0,508.0,0.01148,0.01524,0.02672
1148.0,554.0,0.01148,0.01662,0.0281
1148.0,503.0,0.01148,0.01509,0.02657
1148.0,513.0,0.01148,0.01539,0.026869999999999998
1148.0,794.0,0.01148,0.02382,0.0353
1148.0,502.0,0.01148,0.015059999999999999,0.02654
1148.0,529.0,0.01148,0.01587,0.02735
1148.0,551.0,0.01148,0.01653,0.02801
1148.0,651.0,0.01148,0.01953,0.03101
1148.0,547.0,0.01148,0.01641,0.02789
1148.0,444.0,0.01148,0.01332,0.024800000000000003
1148.0,513.0,0.01148,0.01539,0.026869999999999998
1148.0,652.0,0.01148,0.019559999999999998,0.031039999999999998
1148.0,571.0,0.01148,0.01713,0.02861
1148.0,679.0,0.01148,0.020370000000000003,0.03185
1148.0,570.0,0.01148,0.017099999999999997,0.028579999999999998
1148.0,697.0,0.01148,0.02091,0.03239
1148.0,548.0,0.01148,0.016439999999999996,0.027919999999999997
1148.0,550.0,0.01148,0.0165,0.02798
1148.0,579.0,0.01148,0.01737,0.02885
1148.0,496.0,0.01148,0.014879999999999999,0.02636
1148.0,705.0,0.01148,0.02115,0.03263
1148.0,722.0,0.01148,0.02166,0.03314
1148.0,524.0,0.01148,0.015719999999999998,0.0272
1148.0,610.0,0.01148,0.0183,0.02978
1148.0,693.0,0.01148,0.02079,0.03227
1148.0,576.0,0.01148,0.01728,0.02876
1148.0,671.0,0.01148,0.02013,0.03161
1148.0,517.0,0.01148,0.01551,0.02699
1148.0,685.0,0.01148,0.020550000000000002,0.03203
1148.0,631.0,0.01148,0.01893,0.03041
1148.0,611.0,0.01148,0.01833,0.02981
1148.0,801.0,0.01148,0.02403,0.03551
1148.0,679.0,0.01148,0.020370000000000003,0.03185
1148.0,536.0,0.01148,0.016079999999999997,0.027559999999999998
1148.0,507.0,0.01148,0.01521,0.02669
1148.0,552.0,0.01148,0.01656,0.02804
1148.0,672.0,0.01148,0.02016,0.03164
1148.0,558.0,0.01148,0.016739999999999998,0.02822
1148.0,574.0,0.01148,0.01722,0.0287
1148.0,408.0,0.01148,0.012240000000000001,0.02372
1148.0,624.0,0.01148,0.01872,0.0302
1148.0,479.0,0.01148,0.014369999999999999,0.025849999999999998
1148.0,547.0,0.01148,0.01641,0.02789
1148.0,653.0,0.01148,0.01959,0.03107
1148.0,615.0,0.01148,0.018449999999999998,0.02993
1148.0,570.0,0.01148,0.017099999999999997,0.028579999999999998
1148.0,606.0,0.01148,0.018179999999999998,0.02966
1148.0,534.0,0.01148,0.01602,0.0275
1148.0,534.0,0.01148,0.01602,0.0275
1148.0,812.0,0.01148,0.02436,0.03584
1148.0,613.0,0.01148,0.01839,0.02987
1148.0,527.0,0.01148,0.015809999999999998,0.02729
1148.0,598.0,0.01148,0.017939999999999998,0.029419999999999998
1148.0,601.0,0.01148,0.018029999999999997,0.029509999999999998
1148.0,600.0,0.01148,0.018,0.02948
