Method,FA_-1,RA_-1,PGU_-1,PGI_-1,Dataset,Model
sg,1.0+/-0.0,1.0+/-0.0,0.029+/-0.002,0.116+/-0.006,compas,lr
sg,,,0.043+/-0.004,0.165+/-0.012,compas,ann_l
sg,0.999+/-0.001,0.997+/-0.003,0.018+/-0.002,0.224+/-0.011,adult,lr
sg,,,0.029+/-0.004,0.234+/-0.014,adult,ann_l
sg,,,,,german,lr
sg,,,,,german,ann_l
sg,,,,,heloc,lr
sg,,,,,heloc,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.03+/-0.003,0.201+/-0.009,credit,lr
sg,,,0.037+/-0.004,0.185+/-0.011,credit,ann_l
sg,1.0+/-0.0,1.0+/-0.0,0.008+/-0.0,0.043+/-0.0,blood,lr
sg,,,0.044+/-0.006,0.12+/-0.013,blood,ann_l
