prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
503.0,389.0,0.01509,0.02334,0.03843
478.0,212.0,0.01434,0.012719999999999999,0.02706
570.0,557.0,0.017099999999999997,0.03342,0.050519999999999995
580.0,533.0,0.0174,0.03198,0.04938
554.0,771.0,0.01662,0.046259999999999996,0.06287999999999999
497.0,217.0,0.01491,0.01302,0.02793
469.0,202.0,0.014070000000000001,0.012119999999999999,0.026189999999999998
518.0,534.0,0.01554,0.03204,0.04758
455.0,184.0,0.01365,0.01104,0.02469
532.0,272.0,0.01596,0.01632,0.03228
534.0,559.0,0.01602,0.03354,0.04956
523.0,326.0,0.01569,0.019559999999999998,0.03525
507.0,447.0,0.01521,0.02682,0.04203
555.0,747.0,0.016649999999999998,0.04482,0.06147
668.0,528.0,0.02004,0.03168,0.05172
482.0,274.0,0.014459999999999999,0.016439999999999996,0.030899999999999997
632.0,210.0,0.01896,0.0126,0.031560000000000005
485.0,176.0,0.014549999999999999,0.010559999999999998,0.025109999999999997
570.0,773.0,0.017099999999999997,0.04638,0.06348
646.0,394.0,0.019379999999999998,0.02364,0.04302
546.0,495.0,0.01638,0.0297,0.046079999999999996
481.0,274.0,0.01443,0.016439999999999996,0.030869999999999995
503.0,330.0,0.01509,0.0198,0.034890000000000004
721.0,713.0,0.02163,0.04278,0.06441
485.0,278.0,0.014549999999999999,0.01668,0.03123
619.0,732.0,0.01857,0.04392,0.062490000000000004
495.0,314.0,0.01485,0.01884,0.03369
481.0,163.0,0.01443,0.009779999999999999,0.02421
631.0,303.0,0.01893,0.018179999999999998,0.03711
526.0,522.0,0.01578,0.03132,0.0471
759.0,355.0,0.02277,0.0213,0.04407
469.0,315.0,0.014070000000000001,0.0189,0.03297
488.0,297.0,0.014639999999999999,0.01782,0.032459999999999996
482.0,349.0,0.014459999999999999,0.020939999999999997,0.035399999999999994
489.0,295.0,0.01467,0.0177,0.03237
468.0,266.0,0.014039999999999999,0.01596,0.03
453.0,216.0,0.01359,0.01296,0.026549999999999997
485.0,325.0,0.014549999999999999,0.0195,0.03405
502.0,506.0,0.015059999999999999,0.030359999999999998,0.045419999999999995
553.0,394.0,0.01659,0.02364,0.04023
596.0,908.0,0.01788,0.054479999999999994,0.07236
541.0,461.0,0.01623,0.02766,0.04389
548.0,199.0,0.016439999999999996,0.01194,0.028379999999999996
458.0,221.0,0.01374,0.01326,0.027
461.0,252.0,0.01383,0.01512,0.02895
684.0,641.0,0.02052,0.03846,0.058980000000000005
532.0,548.0,0.01596,0.03287999999999999,0.048839999999999995
562.0,235.0,0.01686,0.0141,0.03096
650.0,734.0,0.0195,0.044039999999999996,0.06354
555.0,579.0,0.016649999999999998,0.03474,0.05139
507.0,458.0,0.01521,0.02748,0.04269
507.0,365.0,0.01521,0.0219,0.03711
491.0,358.0,0.014729999999999998,0.02148,0.03621
581.0,672.0,0.01743,0.04032,0.05775
471.0,223.0,0.014129999999999998,0.01338,0.02751
472.0,184.0,0.01416,0.01104,0.0252
498.0,374.0,0.01494,0.022439999999999998,0.03738
690.0,483.0,0.0207,0.02898,0.04968
486.0,226.0,0.01458,0.01356,0.02814
552.0,1068.0,0.01656,0.06408,0.08063999999999999
704.0,263.0,0.021119999999999996,0.01578,0.036899999999999995
501.0,282.0,0.01503,0.016919999999999998,0.03195
506.0,466.0,0.015179999999999999,0.02796,0.04314
485.0,254.0,0.014549999999999999,0.01524,0.029789999999999997
553.0,517.0,0.01659,0.03102,0.04761
485.0,333.0,0.014549999999999999,0.01998,0.03453
488.0,311.0,0.014639999999999999,0.01866,0.033299999999999996
553.0,559.0,0.01659,0.03354,0.05013
492.0,246.0,0.01476,0.01476,0.02952
540.0,518.0,0.0162,0.03108,0.04728
572.0,453.0,0.01716,0.02718,0.044340000000000004
478.0,256.0,0.01434,0.015359999999999999,0.029699999999999997
529.0,274.0,0.01587,0.016439999999999996,0.03230999999999999
471.0,286.0,0.014129999999999998,0.01716,0.03129
522.0,479.0,0.01566,0.028739999999999998,0.044399999999999995
593.0,428.0,0.01779,0.02568,0.04347
596.0,400.0,0.01788,0.024,0.04188
472.0,400.0,0.01416,0.024,0.03816
459.0,244.0,0.01377,0.014639999999999999,0.028409999999999998
501.0,387.0,0.01503,0.023219999999999998,0.03825
509.0,567.0,0.015269999999999999,0.034019999999999995,0.049289999999999994
551.0,240.0,0.01653,0.014399999999999998,0.03093
484.0,298.0,0.01452,0.01788,0.0324
494.0,424.0,0.01482,0.025439999999999997,0.04026
618.0,655.0,0.018539999999999997,0.039299999999999995,0.05783999999999999
586.0,580.0,0.01758,0.0348,0.052379999999999996
466.0,250.0,0.01398,0.015,0.02898
465.0,388.0,0.013949999999999999,0.02328,0.03723
664.0,637.0,0.019919999999999997,0.03822,0.05814
699.0,267.0,0.02097,0.01602,0.036989999999999995
641.0,528.0,0.01923,0.03168,0.05091
845.0,201.0,0.025349999999999998,0.01206,0.03741
586.0,476.0,0.01758,0.02856,0.04614
510.0,215.0,0.0153,0.0129,0.0282
780.0,212.0,0.023399999999999997,0.012719999999999999,0.03612
516.0,463.0,0.015479999999999999,0.02778,0.04326
594.0,633.0,0.01782,0.03798,0.0558
462.0,372.0,0.013859999999999999,0.02232,0.03618
520.0,332.0,0.0156,0.019919999999999997,0.035519999999999996
663.0,368.0,0.01989,0.02208,0.04197
