index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['C', 'A', 'B', 'D']"
2,good,"['C', 'A', 'B', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'C', 'D', 'B']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['C', 'B', 'A', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['C', 'A', 'B', 'D']"
16,good,"['A', 'C', 'D', 'B']"
17,good,"['A', 'C', 'B', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['C', 'D', 'B', 'A']"
21,good,"['C', 'A', 'B', 'D']"
22,good,"['A', 'C', 'B', 'D']"
23,good,"['A', 'C', 'D', 'B']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'C', 'B', 'D']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'C', 'D', 'B']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'B', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'B', 'D']"
36,good,"['A', 'C', 'D', 'B']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['A', 'C', 'B', 'D']"
41,good,"['C', 'A', 'D', 'B']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'C', 'B', 'D']"
46,good,"['C', 'A', 'B', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['C', 'A', 'B', 'D']"
49,good,"['A', 'C', 'B', 'D']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['C', 'A', 'B', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['C', 'A', 'B', 'D']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'C', 'B', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'D', 'B']"
61,good,"['A', 'C', 'B', 'D']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,unsolvable,"['A', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['C', 'A', 'B', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['C', 'B', 'A', 'D']"
72,good,"['A', 'C', 'B', 'D']"
73,good,"['A', 'C', 'B', 'D']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'C', 'B', 'D']"
76,good,"['A', 'D', 'C', 'B']"
77,good,"['A', 'C', 'B', 'D']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['A', 'C', 'D', 'B']"
80,good,"['A', 'D', 'C', 'B']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'D', 'C', 'B']"
85,good,"['C', 'A', 'D', 'B']"
86,good,"['A', 'B', 'D', 'C']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'C', 'B', 'D']"
91,good,"['A', 'C', 'B', 'D']"
92,good,"['C', 'A', 'D', 'B']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['C', 'A', 'D', 'B']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['A', 'C', 'B', 'D']"
99,good,"['A', 'C', 'B', 'D']"
