index,good/bad/unsolvable,reply
0,good,"['A', 'G', 'B', 'D', 'F']"
1,good,"['A', 'B', 'C', 'D', 'E']"
2,good,"['A', 'D', 'E', 'F', 'G']"
3,good,"['A', 'D', 'G', 'H', 'I']"
4,good,"['A', 'C', 'E', 'F', 'G']"
5,bad,['D']
6,bad,"['B', 'a', 's', 'e', 'd']"
7,good,"['A', 'D', 'F', 'G', 'I']"
8,good,"['A', 'F', 'E', 'B', 'D']"
9,good,"['A', 'D', 'E', 'G', 'H']"
10,good,"['A', 'D', 'F', 'G', 'I']"
11,good,"['A', 'B', 'C', 'D', 'F']"
12,good,"['A', 'D', 'E', 'G', 'I']"
13,good,"['A', 'B', 'F', 'D', 'E']"
14,good,"['A', 'D', 'F', 'G', 'I']"
15,good,"['A', 'B', 'E', 'F', 'G']"
16,good,"['A', 'F', 'D', 'E', 'I']"
17,good,"['A', 'D', 'E', 'F', 'G']"
18,good,"['A', 'B', 'C', 'D', 'F']"
19,good,"['A', 'F', 'G', 'H', 'I']"
20,good,"['A', 'D', 'G', 'I', 'J']"
21,good,"['A', 'E', 'F', 'G', 'I']"
22,good,"['A', 'D', 'E', 'F', 'G']"
23,good,"['A', 'B', 'C', 'D', 'F']"
24,good,"['A', 'B', 'D', 'F', 'G']"
25,good,"['A', 'F', 'E', 'G', 'I']"
26,good,"['A', 'B', 'D', 'E', 'F']"
27,good,"['A', 'F', 'E', 'C', 'G']"
28,good,"['A', 'B', 'F', 'G', 'I']"
29,good,"['A', 'B', 'C', 'D', 'E']"
30,good,"['A', 'B', 'C', 'G', 'H']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['A', 'E', 'B', 'C', 'D']"
33,good,"['A', 'B', 'E', 'G', 'I']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['A', 'D', 'E', 'I', 'J']"
36,good,"['A', 'C', 'D', 'F', 'G']"
37,good,"['A', 'B', 'C', 'D', 'I']"
38,good,"['A', 'C', 'F', 'G', 'I']"
39,good,"['A', 'D', 'G', 'I', 'B']"
40,good,"['A', 'D', 'E', 'F', 'G']"
41,good,"['A', 'D', 'E', 'G', 'I']"
42,good,"['A', 'D', 'G', 'F', 'H']"
43,good,"['A', 'D', 'F', 'I', 'G']"
44,good,"['A', 'C', 'D', 'E', 'G']"
45,good,"['A', 'D', 'E', 'F', 'G']"
46,good,"['A', 'E', 'F', 'G', 'I']"
47,good,"['A', 'E', 'F', 'I', 'H']"
48,good,"['A', 'B', 'C', 'D', 'F']"
49,good,"['A', 'B', 'C', 'D', 'F']"
50,good,"['A', 'B', 'C', 'D', 'F']"
51,good,"['A', 'B', 'D', 'G', 'I']"
52,good,"['A', 'B', 'C', 'F', 'G']"
53,good,"['A', 'C', 'D', 'E', 'G']"
54,good,"['B', 'C', 'D', 'F', 'G']"
55,good,"['A', 'G', 'F', 'I', 'H']"
56,good,"['A', 'E', 'I', 'D', 'H']"
57,good,"['A', 'B', 'D', 'E', 'G']"
58,good,"['A', 'E', 'F', 'G', 'I']"
59,good,"['A', 'D', 'B', 'C', 'E']"
60,good,"['A', 'G', 'C', 'D', 'F']"
61,good,"['A', 'D', 'F', 'I', 'C']"
62,good,"['A', 'F', 'I', 'G', 'B']"
63,good,"['A', 'D', 'F', 'G', 'H']"
64,good,"['A', 'B', 'D', 'E', 'G']"
65,good,"['A', 'D', 'F', 'G', 'I']"
66,good,"['A', 'D', 'E', 'F', 'G']"
67,good,"['A', 'C', 'D', 'E', 'F']"
68,unsolvable,['0']
69,good,"['A', 'E', 'G', 'I', 'J']"
70,good,"['A', 'E', 'F', 'H', 'I']"
71,good,"['A', 'D', 'E', 'F', 'G']"
72,good,"['A', 'B', 'C', 'D', 'F']"
73,good,"['A', 'B', 'C', 'F', 'G']"
74,good,"['A', 'C', 'D', 'F', 'I']"
75,unsolvable,"['A', 'C', 'G', 'H', 'J']"
76,good,"['A', 'D', 'E', 'F', 'G']"
77,bad,"['B', 'a', 's', 'e', 'd']"
78,good,"['A', 'E', 'F', 'I', 'J']"
79,good,"['A', 'B', 'C', 'D', 'E']"
80,good,"['A', 'D', 'G', 'B', 'C']"
81,good,"['A', 'F', 'G', 'I', 'E']"
82,good,"['A', 'B', 'D', 'E', 'G']"
83,good,"['A', 'D', 'G', 'H', 'I']"
84,good,"['A', 'B', 'C', 'D', 'E']"
85,good,"['A', 'F', 'E', 'G', 'D']"
86,good,"['A', 'F', 'E', 'D', 'G']"
87,good,"['A', 'D', 'G', 'I', 'J']"
88,good,"['A', 'B', 'C', 'F', 'G']"
89,good,"['A', 'D', 'E', 'F', 'G']"
90,good,"['A', 'D', 'E', 'F', 'H']"
91,good,"['A', 'C', 'D', 'G', 'I']"
92,good,"['A', 'F', 'G', 'I', 'J']"
93,good,"['A', 'D', 'E', 'F', 'G']"
94,good,"['A', 'D', 'E', 'F', 'G']"
95,good,"['A', 'B', 'G', 'I', 'J']"
96,good,"['A', 'B', 'D', 'F', 'G']"
97,good,"['A', 'D', 'G', 'I', 'C']"
98,good,"['A', 'D', 'E', 'F', 'G']"
99,good,"['A', 'E', 'F', 'G', 'D']"
