prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1811.0,552.0,0.01811,0.01656,0.03467
1811.0,443.0,0.01811,0.01329,0.0314
1811.0,438.0,0.01811,0.013139999999999999,0.03125
1811.0,501.0,0.01811,0.01503,0.03314
1811.0,460.0,0.01811,0.0138,0.03191
1811.0,498.0,0.01811,0.01494,0.03305
1811.0,476.0,0.01811,0.01428,0.03239
1811.0,445.0,0.01811,0.013349999999999999,0.03146
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,581.0,0.01811,0.01743,0.03554
1811.0,458.0,0.01811,0.01374,0.03185
1811.0,547.0,0.01811,0.01641,0.03452
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,488.0,0.01811,0.014639999999999999,0.03275
1811.0,412.0,0.01811,0.01236,0.03047
1811.0,545.0,0.01811,0.016349999999999996,0.03446
1811.0,492.0,0.01811,0.01476,0.03287
1811.0,473.0,0.01811,0.01419,0.0323
1811.0,476.0,0.01811,0.01428,0.03239
1811.0,485.0,0.01811,0.014549999999999999,0.03266
1811.0,523.0,0.01811,0.01569,0.0338
1811.0,553.0,0.01811,0.01659,0.0347
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,417.0,0.01811,0.01251,0.03062
1811.0,510.0,0.01811,0.0153,0.03341
1811.0,388.0,0.01811,0.01164,0.02975
1811.0,440.0,0.01811,0.0132,0.031310000000000004
1811.0,615.0,0.01811,0.018449999999999998,0.036559999999999995
1811.0,509.0,0.01811,0.015269999999999999,0.03338
1811.0,375.0,0.01811,0.01125,0.02936
1811.0,499.0,0.01811,0.014969999999999999,0.03308
1811.0,509.0,0.01811,0.015269999999999999,0.03338
1811.0,470.0,0.01811,0.0141,0.03221
1811.0,479.0,0.01811,0.014369999999999999,0.03248
1811.0,490.0,0.01811,0.0147,0.03281
1811.0,433.0,0.01811,0.01299,0.031100000000000003
1811.0,509.0,0.01811,0.015269999999999999,0.03338
1811.0,485.0,0.01811,0.014549999999999999,0.03266
1811.0,528.0,0.01811,0.01584,0.03395
1811.0,461.0,0.01811,0.01383,0.03194
1811.0,419.0,0.01811,0.01257,0.03068
1811.0,484.0,0.01811,0.01452,0.03263
1811.0,428.0,0.01811,0.01284,0.030950000000000002
1811.0,376.0,0.01811,0.01128,0.02939
1811.0,659.0,0.01811,0.01977,0.03788
1811.0,452.0,0.01811,0.01356,0.031670000000000004
1811.0,541.0,0.01811,0.01623,0.03434
1811.0,410.0,0.01811,0.012299999999999998,0.03041
1811.0,439.0,0.01811,0.01317,0.03128
1811.0,390.0,0.01811,0.011699999999999999,0.02981
1811.0,416.0,0.01811,0.01248,0.03059
1811.0,436.0,0.01811,0.01308,0.031190000000000002
1811.0,502.0,0.01811,0.015059999999999999,0.03317
1811.0,493.0,0.01811,0.01479,0.0329
1811.0,489.0,0.01811,0.01467,0.032780000000000004
1811.0,495.0,0.01811,0.01485,0.03296
1811.0,440.0,0.01811,0.0132,0.031310000000000004
1811.0,480.0,0.01811,0.014399999999999998,0.03251
1811.0,599.0,0.01811,0.01797,0.03608
1811.0,360.0,0.01811,0.010799999999999999,0.028909999999999998
1811.0,561.0,0.01811,0.016829999999999998,0.03494
1811.0,429.0,0.01811,0.01287,0.03098
1811.0,424.0,0.01811,0.012719999999999999,0.03083
1811.0,388.0,0.01811,0.01164,0.02975
1811.0,477.0,0.01811,0.014309999999999998,0.03242
1811.0,458.0,0.01811,0.01374,0.03185
1811.0,562.0,0.01811,0.01686,0.03497
1811.0,524.0,0.01811,0.015719999999999998,0.03383
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,400.0,0.01811,0.012,0.03011
1811.0,341.0,0.01811,0.010230000000000001,0.028340000000000004
1811.0,401.0,0.01811,0.012029999999999999,0.03014
1811.0,399.0,0.01811,0.011969999999999998,0.03008
1811.0,531.0,0.01811,0.01593,0.03404
1811.0,465.0,0.01811,0.013949999999999999,0.03206
1811.0,542.0,0.01811,0.016259999999999997,0.03437
1811.0,460.0,0.01811,0.0138,0.03191
1811.0,547.0,0.01811,0.01641,0.03452
1811.0,499.0,0.01811,0.014969999999999999,0.03308
1811.0,490.0,0.01811,0.0147,0.03281
1811.0,503.0,0.01811,0.01509,0.0332
1811.0,435.0,0.01811,0.013049999999999999,0.03116
1811.0,483.0,0.01811,0.01449,0.032600000000000004
1811.0,400.0,0.01811,0.012,0.03011
1811.0,515.0,0.01811,0.015449999999999998,0.03356
1811.0,443.0,0.01811,0.01329,0.0314
1811.0,500.0,0.01811,0.015,0.03311
1811.0,488.0,0.01811,0.014639999999999999,0.03275
1811.0,394.0,0.01811,0.01182,0.029930000000000002
1811.0,417.0,0.01811,0.01251,0.03062
1811.0,399.0,0.01811,0.011969999999999998,0.03008
1811.0,422.0,0.01811,0.01266,0.03077
1811.0,562.0,0.01811,0.01686,0.03497
1811.0,449.0,0.01811,0.01347,0.03158
1811.0,428.0,0.01811,0.01284,0.030950000000000002
1811.0,424.0,0.01811,0.012719999999999999,0.03083
1811.0,578.0,0.01811,0.01734,0.03545
1811.0,491.0,0.01811,0.014729999999999998,0.03284
1811.0,633.0,0.01811,0.01899,0.0371
