index,good/bad/unsolvable,reply
0,unsolvable,"['n', 'o', 't', 'p', 'o']"
1,good,"['A', 'B', 'C', 'D', 'E']"
2,good,"['A', 'B', 'C', 'E', 'D']"
3,good,"['A', 'B', 'C', 'D', 'E']"
4,good,"['A', 'B', 'C', 'D', 'E']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['A', 'B', 'C', 'D', 'E']"
7,good,"['A', 'B', 'C', 'D', 'E']"
8,good,"['A', 'B', 'C', 'D', 'E']"
9,good,"['A', 'B', 'C', 'D', 'F']"
10,good,"['A', 'B', 'C', 'F', 'D']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,good,"['A', 'B', 'C', 'D', 'E']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,good,"['A', 'B', 'C', 'D', 'E']"
15,good,"['A', 'B', 'C', 'D', 'E']"
16,good,"['A', 'B', 'C', 'D', 'E']"
17,good,"['A', 'B', 'C', 'D', 'E']"
18,good,"['A', 'B', 'C', 'D', 'F']"
19,unsolvable,[]
20,good,"['A', 'B', 'C', 'D', 'E']"
21,good,"['A', 'B', 'C', 'D', 'E']"
22,good,"['A', 'B', 'C', 'D', 'E']"
23,good,"['A', 'B', 'C', 'D', 'E']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['A', 'B', 'C', 'D', 'E']"
26,good,"['A', 'B', 'C', 'D', 'E']"
27,good,"['A', 'B', 'C', 'D', 'E']"
28,good,"['A', 'B', 'C', 'D', 'E']"
29,good,"['A', 'B', 'C', 'D', 'F']"
30,good,"['A', 'B', 'C', 'D', 'E']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['A', 'B', 'C', 'D', 'E']"
33,good,"['A', 'B', 'C', 'D', 'E']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['A', 'B', 'C', 'D', 'E']"
36,good,"['A', 'B', 'C', 'D', 'E']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['A', 'B', 'C', 'D', 'E']"
39,good,"['A', 'B', 'C', 'D', 'E']"
40,good,"['A', 'B', 'C', 'E', 'F']"
41,good,"['A', 'B', 'C', 'D', 'E']"
42,good,"['A', 'B', 'C', 'D', 'E']"
43,good,"['A', 'B', 'C', 'D', 'E']"
44,good,"['A', 'B', 'C', 'D', 'E']"
45,good,"['A', 'B', 'C', 'D', 'E']"
46,good,"['A', 'B', 'C', 'D', 'E']"
47,good,"['A', 'B', 'C', 'D', 'E']"
48,unsolvable,"['B', 'a', 's', 'e', 'd']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,good,"['A', 'B', 'C', 'D', 'F']"
51,good,"['A', 'B', 'C', 'D', 'E']"
52,good,"['A', 'B', 'C', 'D', 'E']"
53,good,"['A', 'B', 'C', 'D', 'F']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,good,"['A', 'B', 'C', 'D', 'F']"
56,unsolvable,[]
57,good,"['A', 'B', 'C', 'D', 'E']"
58,unsolvable,"['B', 'A', 'C', 'F', 'E']"
59,good,"['A', 'B', 'C', 'D', 'E']"
60,good,"['A', 'B', 'C', 'D', 'E']"
61,good,"['A', 'B', 'C', 'D', 'E']"
62,good,"['A', 'B', 'C', 'D', 'E']"
63,good,"['A', 'B', 'C', 'D', 'E']"
64,good,"['A', 'B', 'C', 'D', 'E']"
65,good,"['A', 'B', 'C', 'D', 'E']"
66,good,"['A', 'B', 'C', 'D', 'E']"
67,good,"['A', 'B', 'C', 'D', 'E']"
68,good,"['A', 'B', 'C', 'D', 'E']"
69,good,"['A', 'B', 'C', 'D', 'E']"
70,good,"['A', 'B', 'C', 'D', 'E']"
71,unsolvable,"['A', 'B', 'C', 'D', 'E']"
72,good,"['A', 'B', 'C', 'D', 'E']"
73,good,"['A', 'B', 'C', 'E', 'D']"
74,good,"['A', 'B', 'C', 'D', 'E']"
75,good,"['A', 'B', 'C', 'E', 'F']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,unsolvable,"['U', 'n', 'a', 'b', 'l']"
78,good,"['A', 'B', 'C', 'D', 'F']"
79,good,"['A', 'B', 'C', 'D', 'E']"
80,good,"['A', 'B', 'C', 'D', 'E']"
81,good,"['A', 'B', 'C', 'F', 'D']"
82,good,"['A', 'B', 'C', 'D', 'E']"
83,good,"['C', 'B', 'A', 'D', 'E']"
84,good,"['A', 'B', 'C', 'D', 'E']"
85,good,"['A', 'B', 'C', 'D', 'E']"
86,good,"['A', 'B', 'C', 'F', 'D']"
87,good,"['A', 'B', 'C', 'D', 'E']"
88,good,"['A', 'B', 'C', 'D', 'E']"
89,good,"['A', 'B', 'C', 'E', 'D']"
90,good,"['A', 'B', 'C', 'D', 'E']"
91,good,"['A', 'B', 'C', 'D', 'E']"
92,good,"['A', 'B', 'C', 'E', 'D']"
93,good,"['A', 'B', 'C', 'D', 'E']"
94,good,"['B', 'C', 'F', 'A', 'E']"
95,good,"['A', 'B', 'C', 'D', 'E']"
96,good,"['A', 'B', 'C', 'D', 'E']"
97,good,"['A', 'B', 'C', 'F', 'E']"
98,good,"['A', 'B', 'C', 'D', 'E']"
99,good,"['A', 'B', 'C', 'D', 'E']"
