index,good/bad/unsolvable,reply
0,good,"['D', 'F', 'A', 'B', 'G']"
1,good,"['D', 'C', 'K', 'A', 'E']"
2,good,"['D', 'I', 'G', 'H', 'A']"
3,good,"['D', 'G', 'H', 'K', 'L']"
4,good,"['D', 'C', 'H', 'A', 'M']"
5,good,"['D', 'B', 'A', 'C', 'E']"
6,good,"['D', 'C', 'A', 'I', 'E']"
7,good,"['D', 'H', 'M', 'L', 'C']"
8,good,"['D', 'L', 'C', 'K', 'A']"
9,good,"['D', 'A', 'B', 'C', 'E']"
10,good,"['D', 'E', 'H', 'M', 'K']"
11,good,"['D', 'C', 'H', 'F', 'M']"
12,good,"['D', 'G', 'E', 'A', 'F']"
13,good,"['D', 'L', 'G', 'K', 'H']"
14,good,"['D', 'H', 'L', 'M', 'A']"
15,good,"['H', 'D', 'G', 'A', 'C']"
16,good,"['D', 'J', 'A', 'F', 'H']"
17,good,"['D', 'F', 'H', 'K', 'M']"
18,good,"['C', 'A', 'D', 'B', 'E']"
19,good,"['D', 'A', 'M', 'H', 'L']"
20,good,"['D', 'C', 'F', 'I', 'L']"
21,good,"['D', 'H', 'A', 'E', 'B']"
22,good,"['D', 'F', 'C', 'I', 'L']"
23,good,"['D', 'A', 'M', 'F', 'I']"
24,good,"['D', 'E', 'K', 'G', 'J']"
25,good,"['D', 'F', 'A', 'M', 'J']"
26,good,"['D', 'C', 'A', 'B', 'L']"
27,good,"['D', 'L', 'K', 'F', 'I']"
28,good,"['D', 'J', 'C', 'A', 'I']"
29,good,"['D', 'E', 'F', 'H', 'M']"
30,good,"['D', 'A', 'F', 'E', 'I']"
31,good,"['D', 'A', 'C', 'K', 'F']"
32,bad,"['q', 'u', 'i', 't', 'e']"
33,good,"['D', 'M', 'A', 'B', 'C']"
34,good,"['D', 'H', 'M', 'A', 'J']"
35,good,"['C', 'D', 'A', 'E', 'F']"
36,good,"['D', 'A', 'E', 'H', 'C']"
37,good,"['D', 'A', 'E', 'G', 'M']"
38,good,"['D', 'G', 'H', 'J', 'M']"
39,good,"['D', 'A', 'I', 'L', 'M']"
40,good,"['D', 'A', 'C', 'I', 'F']"
41,good,"['D', 'A', 'H', 'L', 'C']"
42,good,"['D', 'H', 'L', 'A', 'B']"
43,good,"['D', 'A', 'H', 'G', 'L']"
44,good,"['D', 'F', 'A', 'B', 'C']"
45,good,"['D', 'C', 'H', 'L', 'K']"
46,good,"['D', 'H', 'F', 'M', 'G']"
47,good,"['D', 'A', 'E', 'G', 'B']"
48,good,"['D', 'H', 'A', 'F', 'J']"
49,good,"['D', 'I', 'C', 'K', 'M']"
50,good,"['C', 'D', 'I', 'M', 'G']"
51,good,"['D', 'A', 'F', 'J', 'B']"
52,good,"['D', 'H', 'E', 'L', 'M']"
53,good,"['D', 'H', 'L', 'K', 'A']"
54,bad,"['h', 'i', 'g', 'h', 'l']"
55,bad,"['T', 'h', 'e', 's', 'e']"
56,good,"['D', 'H', 'L', 'A', 'B']"
57,good,"['D', 'A', 'B', 'H', 'I']"
58,good,"['D', 'A', 'B', 'C', 'E']"
59,good,"['D', 'C', 'F', 'K', 'M']"
60,good,"['D', 'C', 'A', 'B', 'E']"
61,good,"['D', 'C', 'I', 'M', 'A']"
62,good,"['D', 'C', 'L', 'M', 'E']"
63,good,"['D', 'E', 'B', 'A', 'I']"
64,good,"['D', 'H', 'K', 'A', 'B']"
65,good,"['D', 'F', 'C', 'M', 'I']"
66,good,"['D', 'A', 'B', 'C', 'E']"
67,good,"['D', 'F', 'G', 'M', 'K']"
68,good,"['D', 'G', 'C', 'K', 'E']"
69,good,"['D', 'H', 'F', 'L', 'A']"
70,good,"['D', 'H', 'C', 'A', 'B']"
71,good,"['D', 'C', 'F', 'K', 'M']"
72,good,"['D', 'M', 'H', 'K', 'A']"
73,good,"['M', 'C', 'A', 'D', 'E']"
74,bad,"['T', 'h', 'e', 's', 'e']"
75,good,"['D', 'C', 'A', 'F', 'I']"
76,good,"['D', 'G', 'J', 'K', 'L']"
77,good,"['D', 'J', 'A', 'B', 'E']"
78,good,"['D', 'H', 'K', 'L', 'M']"
79,good,"['D', 'A', 'L', 'H', 'B']"
80,good,"['K', 'D', 'A', 'E', 'L']"
81,good,"['D', 'H', 'K', 'A', 'E']"
82,good,"['D', 'H', 'A', 'F', 'I']"
83,good,"['D', 'H', 'A', 'F', 'J']"
84,good,"['D', 'C', 'H', 'F', 'L']"
85,good,"['D', 'A', 'F', 'H', 'E']"
86,unsolvable,"['C', 'D', 'E', 'G', 'M']"
87,good,"['D', 'C', 'F', 'I', 'K']"
88,good,"['D', 'G', 'C', 'I', 'K']"
89,good,"['D', 'I', 'M', 'H', 'L']"
90,good,"['D', 'K', 'A', 'J', 'M']"
91,good,"['D', 'M', 'C', 'K', 'L']"
92,good,"['D', 'F', 'H', 'M', 'L']"
93,good,"['D', 'C', 'A', 'B', 'E']"
94,good,"['D', 'H', 'A', 'F', 'L']"
95,good,"['D', 'L', 'G', 'K', 'M']"
96,good,"['D', 'A', 'K', 'F', 'I']"
97,good,"['D', 'K', 'I', 'H', 'J']"
98,good,"['D', 'C', 'F', 'E', 'I']"
99,good,"['D', 'F', 'H', 'L', 'A']"
