index,good/bad/unsolvable,reply
0,good,"['C', 'A', 'B', 'F', 'E']"
1,good,"['A', 'B', 'C', 'E', 'F']"
2,good,"['A', 'B', 'C', 'F', 'E']"
3,good,"['C', 'B', 'A', 'F', 'E']"
4,good,"['A', 'C', 'B', 'E', 'D']"
5,good,"['B', 'A', 'C', 'D', 'E']"
6,good,"['A', 'C', 'B', 'F', 'E']"
7,good,"['A', 'C', 'B', 'E', 'F']"
8,good,"['B', 'C', 'A', 'F', 'E']"
9,good,"['D', 'C', 'B', 'A', 'F']"
10,good,"['C', 'B', 'A', 'F', 'E']"
11,good,"['A', 'B', 'C', 'F', 'E']"
12,good,"['C', 'A', 'B', 'E', 'F']"
13,good,"['A', 'C', 'B', 'D', 'E']"
14,good,"['B', 'A', 'C', 'F', 'D']"
15,good,"['C', 'B', 'A', 'F', 'E']"
16,good,"['C', 'B', 'A', 'F', 'E']"
17,good,"['A', 'B', 'C', 'F', 'E']"
18,good,"['A', 'B', 'C', 'F', 'E']"
19,good,"['A', 'C', 'B', 'E', 'D']"
20,good,"['B', 'C', 'A', 'F', 'E']"
21,good,"['A', 'D', 'E', 'F', 'B']"
22,good,"['A', 'B', 'C', 'F', 'E']"
23,good,"['B', 'A', 'C', 'F', 'E']"
24,good,"['A', 'B', 'C', 'F', 'E']"
25,good,"['A', 'C', 'B', 'F', 'E']"
26,good,"['B', 'A', 'C', 'E', 'F']"
27,good,"['A', 'C', 'B', 'F', 'E']"
28,good,"['B', 'C', 'A', 'F', 'E']"
29,good,"['A', 'B', 'C', 'F', 'E']"
30,good,"['A', 'B', 'C', 'F', 'D']"
31,good,"['B', 'C', 'A', 'F', 'E']"
32,good,"['A', 'C', 'B', 'E', 'F']"
33,good,"['C', 'A', 'B', 'F', 'D']"
34,good,"['C', 'B', 'A', 'F', 'E']"
35,good,"['B', 'C', 'A', 'F', 'D']"
36,good,"['C', 'A', 'B', 'F', 'D']"
37,good,"['B', 'C', 'A', 'F', 'E']"
38,good,"['B', 'C', 'A', 'F', 'D']"
39,good,"['A', 'B', 'C', 'F', 'E']"
40,good,"['C', 'A', 'B', 'F', 'E']"
41,good,"['B', 'C', 'A', 'F', 'D']"
42,good,"['A', 'B', 'C', 'F', 'E']"
43,good,"['A', 'B', 'C', 'D', 'E']"
44,good,"['B', 'A', 'C', 'F', 'E']"
45,good,"['C', 'A', 'B', 'F', 'E']"
46,good,"['A', 'B', 'C', 'F', 'E']"
47,good,"['C', 'B', 'A', 'F', 'D']"
48,good,"['A', 'C', 'B', 'F', 'E']"
49,good,"['A', 'B', 'C', 'F', 'E']"
50,good,"['B', 'E', 'F', 'A', 'C']"
51,good,"['A', 'C', 'B', 'F', 'E']"
52,good,"['A', 'B', 'C', 'E', 'D']"
53,good,"['A', 'B', 'C', 'F', 'E']"
54,good,"['C', 'A', 'B', 'F', 'E']"
55,good,"['B', 'C', 'A', 'F', 'E']"
56,good,"['B', 'C', 'A', 'F', 'D']"
57,good,"['B', 'C', 'A', 'F', 'E']"
58,good,"['A', 'B', 'C', 'D', 'E']"
59,good,"['C', 'A', 'B', 'F', 'E']"
60,good,"['A', 'B', 'C', 'D', 'E']"
61,good,"['C', 'B', 'A', 'F', 'E']"
62,good,"['B', 'C', 'A', 'E', 'D']"
63,good,"['A', 'C', 'B', 'F', 'E']"
64,good,"['A', 'C', 'B', 'E', 'D']"
65,good,"['B', 'C', 'A', 'F', 'E']"
66,good,"['B', 'C', 'A', 'F', 'E']"
67,good,"['C', 'A', 'B', 'E', 'F']"
68,good,"['A', 'C', 'B', 'F', 'E']"
69,good,"['B', 'C', 'A', 'F', 'E']"
70,good,"['B', 'E', 'F', 'C', 'A']"
71,good,"['A', 'B', 'C', 'D', 'E']"
72,good,"['A', 'C', 'B', 'E', 'F']"
73,good,"['C', 'B', 'A', 'F', 'D']"
74,good,"['B', 'C', 'A', 'F', 'E']"
75,good,"['A', 'C', 'B', 'F', 'E']"
76,good,"['A', 'B', 'C', 'F', 'E']"
77,good,"['B', 'C', 'A', 'F', 'E']"
78,good,"['B', 'C', 'A', 'F', 'E']"
79,good,"['C', 'B', 'A', 'F', 'D']"
80,good,"['C', 'A', 'B', 'F', 'E']"
81,good,"['A', 'C', 'B', 'F', 'E']"
82,good,"['A', 'B', 'C', 'F', 'E']"
83,good,"['A', 'C', 'F', 'E', 'B']"
84,good,"['A', 'B', 'C', 'E', 'D']"
85,good,"['A', 'B', 'C', 'F', 'E']"
86,good,"['B', 'C', 'A', 'F', 'D']"
87,good,"['C', 'A', 'B', 'F', 'D']"
88,good,"['C', 'A', 'B', 'F', 'E']"
89,good,"['B', 'A', 'C', 'F', 'D']"
90,good,"['B', 'C', 'A', 'F', 'E']"
91,good,"['A', 'B', 'C', 'F', 'E']"
92,good,"['B', 'A', 'C', 'F', 'E']"
93,good,"['B', 'C', 'A', 'F', 'E']"
94,good,"['A', 'C', 'B', 'F', 'D']"
95,good,"['C', 'B', 'A', 'F', 'E']"
96,good,"['A', 'B', 'C', 'E', 'F']"
97,good,"['A', 'B', 'C', 'D', 'E']"
98,good,"['B', 'A', 'C', 'F', 'E']"
99,good,"['A', 'B', 'C', 'F', 'E']"
