index,good/bad/unsolvable,reply
0,good,"['J', 'C', 'I', 'E', 'F']"
1,good,"['C', 'I', 'E', 'F', 'A']"
2,good,"['G', 'H', 'J', 'K', 'L']"
3,good,"['E', 'D', 'A', 'B', 'F']"
4,good,"['I', 'E', 'D', 'C', 'F']"
5,good,"['E', 'D', 'I', 'C', 'A']"
6,good,"['C', 'D', 'I', 'E', 'F']"
7,good,"['E', 'D', 'I', 'J', 'L']"
8,good,"['E', 'D', 'G', 'I', 'J']"
9,good,"['I', 'E', 'D', 'B', 'A']"
10,good,"['E', 'D', 'G', 'I', 'C']"
11,good,"['I', 'E', 'D', 'G', 'J']"
12,good,"['G', 'H', 'M', 'L', 'C']"
13,bad,"['I', 't', 'h', 'e', 'A']"
14,good,"['G', 'H', 'I', 'J', 'K']"
15,good,"['E', 'D', 'K', 'I', 'A']"
16,good,"['G', 'H', 'L', 'M', 'D']"
17,bad,"['I', 'T', 'h', 'e', 't']"
18,good,"['I', 'E', 'D', 'C', 'A']"
19,good,"['I', 'E', 'F', 'A', 'B']"
20,good,"['C', 'D', 'I', 'E', 'F']"
21,good,"['I', 'J', 'K', 'L', 'M']"
22,good,"['E', 'D', 'A', 'B', 'C']"
23,good,"['I', 'E', 'F', 'A', 'B']"
24,good,"['K', 'G', 'H', 'M', 'L']"
25,good,"['I', 'E', 'F', 'A', 'J']"
26,good,"['G', 'H', 'J', 'L', 'M']"
27,good,"['E', 'D', 'G', 'J', 'A']"
28,good,"['I', 'E', 'D', 'C', 'F']"
29,good,"['E', 'D', 'I', 'J', 'K']"
30,good,"['H', 'K', 'L', 'M', 'G']"
31,good,"['G', 'M', 'C', 'F', 'A']"
32,good,"['E', 'F', 'A', 'B', 'C']"
33,good,"['G', 'H', 'D', 'E', 'I']"
34,good,"['E', 'I', 'J', 'K', 'D']"
35,good,"['E', 'D', 'I', 'G', 'L']"
36,good,"['E', 'D', 'G', 'A', 'F']"
37,good,"['C', 'D', 'I', 'E', 'F']"
38,bad,"['I', 't', 'h', 'i', 'n']"
39,good,"['G', 'H', 'L', 'K', 'M']"
40,good,"['I', 'J', 'E', 'I', 'F']"
41,good,"['I', 'E', 'D', 'G', 'A']"
42,bad,"['I', 'T', 'h', 'e', 'g']"
43,bad,"['I', 'T', 'h', 'e', 't']"
44,good,"['I', 'E', 'D', 'J', 'G']"
45,bad,"['A', 'c', 'c', 'o', 'r']"
46,good,"['E', 'D', 'G', 'J', 'A']"
47,good,"['E', 'D', 'G', 'J', 'A']"
48,bad,"['I', 't', 'h', 'e', 'A']"
49,good,"['E', 'D', 'I', 'G', 'J']"
50,good,"['E', 'D', 'I', 'G', 'K']"
51,good,"['G', 'H', 'K', 'L', 'M']"
52,good,"['E', 'D', 'J', 'G', 'B']"
53,bad,"['I', 'T', 'h', 'e', 't']"
54,good,"['C', 'D', 'E', 'I', 'A']"
55,good,"['I', 'J', 'E', 'D', 'G']"
56,good,"['I', 'E', 'D', 'C', 'F']"
57,good,"['C', 'I', 'E', 'F', 'A']"
58,bad,"['I', 'T', 'h', 'e', 'g']"
59,bad,"['I', 't', 'h', 'e', 'A']"
60,good,"['E', 'D', 'G', 'J', 'A']"
61,good,"['E', 'J', 'D', 'G', 'B']"
62,good,"['E', 'F', 'A', 'J', 'B']"
63,good,"['C', 'D', 'I', 'E', 'F']"
64,good,"['I', 'E', 'F', 'A', 'J']"
65,good,"['I', 'E', 'D', 'G', 'A']"
66,good,"['H', 'G', 'L', 'M', 'F']"
67,good,"['G', 'H', 'K', 'L', 'M']"
68,bad,"['m', 'e', 't', 'b', 'a']"
69,good,"['K', 'J', 'I', 'H', 'G']"
70,good,"['I', 'E', 'F', 'A', 'B']"
71,good,"['I', 'J', 'K', 'L', 'M']"
72,good,"['B', 'C', 'I', 'E', 'F']"
73,bad,"['I', 'T', 'h', 'e', 'g']"
74,good,"['I', 'E', 'D', 'F', 'A']"
75,good,"['G', 'H', 'J', 'L', 'M']"
76,good,"['J', 'C', 'I', 'E', 'F']"
77,good,"['G', 'H', 'L', 'M', 'C']"
78,good,"['E', 'D', 'J', 'H', 'L']"
79,good,"['I', 'J', 'E', 'D', 'G']"
80,good,"['G', 'C', 'I', 'E', 'F']"
81,good,"['G', 'J', 'L', 'M', 'C']"
82,bad,"['s', 'o', 'm', 'e', 'c']"
83,good,"['G', 'H', 'I', 'J', 'K']"
84,bad,"['I', 't', 'h', 'e', 'A']"
85,good,"['G', 'H', 'K', 'L', 'M']"
86,good,"['C', 'I', 'E', 'F', 'A']"
87,bad,"['A', 'n', 'a', 'l', 'y']"
88,good,"['E', 'D', 'I', 'A', 'F']"
89,good,"['E', 'D', 'I', 'K', 'J']"
90,good,"['E', 'I', 'D', 'L', 'K']"
91,good,"['E', 'H', 'K', 'J', 'I']"
92,good,"['E', 'I', 'K', 'D', 'A']"
93,bad,"['I', 'T', 'h', 'e', 'e']"
94,bad,"['I', 'a', 'n', 'a', 'l']"
95,good,"['E', 'F', 'A', 'B', 'C']"
96,good,"['E', 'D', 'B', 'A', 'F']"
97,good,"['C', 'D', 'E', 'I', 'F']"
98,bad,"['I', 'o', 'b', 's', 'e']"
99,good,"['C', 'D', 'I', 'E', 'F']"
