prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1608.0,655.0,0.01608,0.019649999999999997,0.03573
1608.0,536.0,0.01608,0.016079999999999997,0.032159999999999994
1608.0,584.0,0.01608,0.01752,0.033600000000000005
1608.0,637.0,0.01608,0.01911,0.03519
1608.0,589.0,0.01608,0.017669999999999998,0.03375
1608.0,618.0,0.01608,0.018539999999999997,0.03462
1608.0,750.0,0.01608,0.0225,0.03858
1608.0,709.0,0.01608,0.02127,0.03735
1608.0,578.0,0.01608,0.01734,0.033420000000000005
1608.0,542.0,0.01608,0.016259999999999997,0.032339999999999994
1608.0,705.0,0.01608,0.02115,0.03723
1608.0,565.0,0.01608,0.01695,0.033030000000000004
1608.0,645.0,0.01608,0.01935,0.03543
1608.0,661.0,0.01608,0.019829999999999997,0.03591
1608.0,638.0,0.01608,0.01914,0.03522
1608.0,660.0,0.01608,0.0198,0.03588
1608.0,680.0,0.01608,0.020399999999999998,0.03648
1608.0,730.0,0.01608,0.0219,0.03798
1608.0,610.0,0.01608,0.0183,0.03438
1608.0,665.0,0.01608,0.01995,0.03603
1608.0,704.0,0.01608,0.021119999999999996,0.0372
1608.0,662.0,0.01608,0.01986,0.03594
1608.0,576.0,0.01608,0.01728,0.03336
1608.0,650.0,0.01608,0.0195,0.03558
1608.0,655.0,0.01608,0.019649999999999997,0.03573
1608.0,716.0,0.01608,0.02148,0.037559999999999996
1608.0,550.0,0.01608,0.0165,0.03258
1608.0,590.0,0.01608,0.0177,0.033780000000000004
1608.0,732.0,0.01608,0.02196,0.038040000000000004
1608.0,509.0,0.01608,0.015269999999999999,0.03135
1608.0,595.0,0.01608,0.017849999999999998,0.03393
1608.0,596.0,0.01608,0.01788,0.033960000000000004
1608.0,604.0,0.01608,0.01812,0.0342
1608.0,591.0,0.01608,0.01773,0.03381
1608.0,651.0,0.01608,0.01953,0.03561
1608.0,586.0,0.01608,0.01758,0.033659999999999995
1608.0,623.0,0.01608,0.01869,0.034769999999999995
1608.0,786.0,0.01608,0.023579999999999997,0.03966
1608.0,720.0,0.01608,0.021599999999999998,0.03768
1608.0,613.0,0.01608,0.01839,0.03447
1608.0,714.0,0.01608,0.021419999999999998,0.0375
1608.0,542.0,0.01608,0.016259999999999997,0.032339999999999994
1608.0,540.0,0.01608,0.0162,0.03228
1608.0,509.0,0.01608,0.015269999999999999,0.03135
1608.0,676.0,0.01608,0.020279999999999996,0.036359999999999996
1608.0,504.0,0.01608,0.01512,0.0312
1608.0,613.0,0.01608,0.01839,0.03447
1608.0,626.0,0.01608,0.018779999999999998,0.03486
1608.0,589.0,0.01608,0.017669999999999998,0.03375
1608.0,696.0,0.01608,0.02088,0.03696
1608.0,555.0,0.01608,0.016649999999999998,0.032729999999999995
1608.0,762.0,0.01608,0.02286,0.03894
1608.0,648.0,0.01608,0.01944,0.035519999999999996
1608.0,641.0,0.01608,0.01923,0.03531
1608.0,607.0,0.01608,0.01821,0.03429
1608.0,702.0,0.01608,0.02106,0.03714
1608.0,647.0,0.01608,0.01941,0.03549
1608.0,644.0,0.01608,0.01932,0.0354
1608.0,612.0,0.01608,0.018359999999999998,0.03444
1608.0,633.0,0.01608,0.01899,0.035070000000000004
1608.0,625.0,0.01608,0.01875,0.03483
1608.0,584.0,0.01608,0.01752,0.033600000000000005
1608.0,719.0,0.01608,0.02157,0.03765
1608.0,643.0,0.01608,0.019289999999999998,0.03537
1608.0,592.0,0.01608,0.017759999999999998,0.033839999999999995
1608.0,554.0,0.01608,0.01662,0.0327
1608.0,668.0,0.01608,0.02004,0.03612
1608.0,543.0,0.01608,0.01629,0.032369999999999996
1608.0,634.0,0.01608,0.01902,0.0351
1608.0,531.0,0.01608,0.01593,0.03201
1608.0,717.0,0.01608,0.021509999999999998,0.03759
1608.0,562.0,0.01608,0.01686,0.03294
1608.0,696.0,0.01608,0.02088,0.03696
1608.0,602.0,0.01608,0.01806,0.034140000000000004
1608.0,553.0,0.01608,0.01659,0.032670000000000005
1608.0,727.0,0.01608,0.02181,0.03789
1608.0,613.0,0.01608,0.01839,0.03447
1608.0,654.0,0.01608,0.019620000000000002,0.0357
1608.0,654.0,0.01608,0.019620000000000002,0.0357
1608.0,589.0,0.01608,0.017669999999999998,0.03375
1608.0,545.0,0.01608,0.016349999999999996,0.03243
1608.0,620.0,0.01608,0.0186,0.03468
1608.0,616.0,0.01608,0.01848,0.03456
1608.0,518.0,0.01608,0.01554,0.03162
1608.0,565.0,0.01608,0.01695,0.033030000000000004
1608.0,701.0,0.01608,0.021029999999999997,0.03711
1608.0,711.0,0.01608,0.02133,0.03741
1608.0,658.0,0.01608,0.019739999999999997,0.03582
1608.0,631.0,0.01608,0.01893,0.03501
1608.0,692.0,0.01608,0.020759999999999997,0.03684
1608.0,622.0,0.01608,0.01866,0.03474
1608.0,705.0,0.01608,0.02115,0.03723
1608.0,660.0,0.01608,0.0198,0.03588
1608.0,536.0,0.01608,0.016079999999999997,0.032159999999999994
1608.0,560.0,0.01608,0.016800000000000002,0.032880000000000006
1608.0,681.0,0.01608,0.02043,0.03651
1608.0,523.0,0.01608,0.01569,0.03177
1608.0,586.0,0.01608,0.01758,0.033659999999999995
1608.0,600.0,0.01608,0.018,0.03408
1608.0,651.0,0.01608,0.01953,0.03561
