prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1723.0,227.0,0.05169,0.013619999999999998,0.06530999999999999
1723.0,288.0,0.05169,0.01728,0.06897
1723.0,366.0,0.05169,0.02196,0.07365
1723.0,282.0,0.05169,0.016919999999999998,0.06861
1723.0,177.0,0.05169,0.01062,0.06231
1723.0,198.0,0.05169,0.011879999999999998,0.06357
1723.0,321.0,0.05169,0.01926,0.07095
1723.0,253.0,0.05169,0.015179999999999999,0.06687
1723.0,293.0,0.05169,0.01758,0.06927
1723.0,254.0,0.05169,0.01524,0.06693
1723.0,235.0,0.05169,0.0141,0.06579
1723.0,246.0,0.05169,0.01476,0.06645
1723.0,158.0,0.05169,0.00948,0.06117
1723.0,257.0,0.05169,0.01542,0.06711
1723.0,215.0,0.05169,0.0129,0.06459
1723.0,214.0,0.05169,0.01284,0.06453
1723.0,228.0,0.05169,0.01368,0.06537
1723.0,327.0,0.05169,0.019620000000000002,0.07131
1723.0,175.0,0.05169,0.0105,0.06219
1723.0,221.0,0.05169,0.01326,0.06495
1723.0,226.0,0.05169,0.01356,0.06525
1723.0,230.0,0.05169,0.0138,0.06548999999999999
1723.0,225.0,0.05169,0.0135,0.06519
1723.0,278.0,0.05169,0.01668,0.06837
1723.0,266.0,0.05169,0.01596,0.06765
1723.0,232.0,0.05169,0.01392,0.06561
1723.0,176.0,0.05169,0.010559999999999998,0.06225
1723.0,227.0,0.05169,0.013619999999999998,0.06530999999999999
1723.0,220.0,0.05169,0.0132,0.06489
1723.0,229.0,0.05169,0.01374,0.06543
1723.0,221.0,0.05169,0.01326,0.06495
1723.0,248.0,0.05169,0.014879999999999999,0.06657
1723.0,243.0,0.05169,0.01458,0.06627
1723.0,207.0,0.05169,0.01242,0.06411
1723.0,183.0,0.05169,0.01098,0.06267
1723.0,257.0,0.05169,0.01542,0.06711
1723.0,308.0,0.05169,0.01848,0.07017
1723.0,211.0,0.05169,0.01266,0.06435
1723.0,268.0,0.05169,0.016079999999999997,0.06777
1723.0,269.0,0.05169,0.01614,0.06783
1723.0,185.0,0.05169,0.0111,0.06279
1723.0,236.0,0.05169,0.01416,0.06585
1723.0,216.0,0.05169,0.01296,0.06465
1723.0,208.0,0.05169,0.01248,0.06417
1723.0,235.0,0.05169,0.0141,0.06579
1723.0,231.0,0.05169,0.013859999999999999,0.06555
1723.0,200.0,0.05169,0.012,0.06369
1723.0,240.0,0.05169,0.014399999999999998,0.06609
1723.0,251.0,0.05169,0.015059999999999999,0.06675
1723.0,250.0,0.05169,0.015,0.06669
1723.0,236.0,0.05169,0.01416,0.06585
1723.0,234.0,0.05169,0.014039999999999999,0.06573
1723.0,208.0,0.05169,0.01248,0.06417
1723.0,372.0,0.05169,0.02232,0.07400999999999999
1723.0,225.0,0.05169,0.0135,0.06519
1723.0,230.0,0.05169,0.0138,0.06548999999999999
1723.0,366.0,0.05169,0.02196,0.07365
1723.0,192.0,0.05169,0.011519999999999999,0.06321
1723.0,268.0,0.05169,0.016079999999999997,0.06777
1723.0,192.0,0.05169,0.011519999999999999,0.06321
1723.0,361.0,0.05169,0.02166,0.07335
1723.0,232.0,0.05169,0.01392,0.06561
1723.0,219.0,0.05169,0.013139999999999999,0.06483
1723.0,234.0,0.05169,0.014039999999999999,0.06573
1723.0,259.0,0.05169,0.01554,0.06723
1723.0,188.0,0.05169,0.01128,0.06297
1723.0,223.0,0.05169,0.01338,0.06507
1723.0,240.0,0.05169,0.014399999999999998,0.06609
1723.0,276.0,0.05169,0.01656,0.06825
1723.0,220.0,0.05169,0.0132,0.06489
1723.0,245.0,0.05169,0.0147,0.06639
1723.0,208.0,0.05169,0.01248,0.06417
1723.0,195.0,0.05169,0.011699999999999999,0.06339
1723.0,190.0,0.05169,0.0114,0.06309000000000001
1723.0,237.0,0.05169,0.014219999999999998,0.06591
1723.0,237.0,0.05169,0.014219999999999998,0.06591
1723.0,295.0,0.05169,0.0177,0.06939000000000001
1723.0,251.0,0.05169,0.015059999999999999,0.06675
1723.0,209.0,0.05169,0.012539999999999999,0.06423
1723.0,223.0,0.05169,0.01338,0.06507
1723.0,201.0,0.05169,0.01206,0.06375
1723.0,160.0,0.05169,0.0096,0.06129
1723.0,261.0,0.05169,0.01566,0.06735
1723.0,288.0,0.05169,0.01728,0.06897
1723.0,194.0,0.05169,0.01164,0.06333
1723.0,248.0,0.05169,0.014879999999999999,0.06657
1723.0,89.0,0.05169,0.00534,0.05703
1723.0,178.0,0.05169,0.01068,0.06237
1723.0,255.0,0.05169,0.0153,0.06699
1723.0,305.0,0.05169,0.0183,0.06999
1723.0,207.0,0.05169,0.01242,0.06411
1723.0,267.0,0.05169,0.01602,0.06770999999999999
1723.0,228.0,0.05169,0.01368,0.06537
1723.0,196.0,0.05169,0.01176,0.06345
1723.0,246.0,0.05169,0.01476,0.06645
1723.0,287.0,0.05169,0.01722,0.06891
1723.0,225.0,0.05169,0.0135,0.06519
1723.0,238.0,0.05169,0.01428,0.06597
1723.0,217.0,0.05169,0.01302,0.06471
1723.0,355.0,0.05169,0.0213,0.07299
