index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['D', 'A', 'B', 'C']"
10,unsolvable,"['D', 'A', 'B', 'C']"
11,good,"['A', 'C', 'B', 'D']"
12,good,"['A', 'D', 'B', 'C']"
13,good,"['A', 'C', 'D', 'B']"
14,good,"['A', 'C', 'B', 'D']"
15,good,"['A', 'C', 'D', 'B']"
16,good,"['A', 'D', 'C', 'B']"
17,good,"['A', 'B', 'C', 'D']"
18,good,"['A', 'B', 'C', 'D']"
19,good,"['A', 'D', 'B', 'C']"
20,unsolvable,"['C', 'A', 'B', 'D']"
21,good,"['A', 'C', 'B', 'D']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'D', 'C', 'B']"
24,good,"['A', 'B', 'C', 'D']"
25,good,"['A', 'B', 'D', 'C']"
26,good,"['A', 'C', 'D', 'B']"
27,good,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['D', 'A', 'C', 'B']"
30,good,"['A', 'C', 'D', 'B']"
31,good,"['A', 'B', 'C', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'D', 'B']"
34,good,"['A', 'D', 'B', 'C']"
35,unsolvable,"['A', 'D', 'C', 'B']"
36,good,"['A', 'D', 'C', 'B']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['C', 'A', 'B', 'D']"
39,good,"['A', 'C', 'B', 'D']"
40,good,"['A', 'D', 'C', 'B']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'C', 'D', 'B']"
46,good,"['A', 'C', 'B', 'D']"
47,unsolvable,"['A', 'D', 'B', 'C']"
48,good,"['A', 'B', 'C', 'D']"
49,unsolvable,"['A', 'D', 'B', 'C']"
50,good,"['A', 'C', 'D', 'B']"
51,good,"['A', 'D', 'B', 'C']"
52,unsolvable,"['B', 'A', 'C', 'D']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'C', 'B', 'D']"
55,good,"['A', 'C', 'B', 'D']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['B', 'A', 'C', 'D']"
58,good,"['B', 'A', 'D', 'C']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'B', 'D']"
61,good,"['A', 'C', 'B', 'D']"
62,unsolvable,"['A', 'D', 'C', 'B']"
63,good,"['A', 'C', 'B', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'D', 'B']"
66,unsolvable,"['A', 'C', 'D', 'B']"
67,good,"['A', 'C', 'B', 'D']"
68,good,"['A', 'C', 'B', 'D']"
69,good,"['A', 'D', 'B', 'C']"
70,good,"['A', 'D', 'C', 'B']"
71,good,"['A', 'B', 'C', 'D']"
72,good,"['A', 'C', 'D', 'B']"
73,good,"['A', 'B', 'D', 'C']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'B', 'C', 'D']"
76,unsolvable,"['A', 'D', 'B', 'C']"
77,good,"['A', 'B', 'C', 'D']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['B', 'A', 'C', 'D']"
80,good,"['A', 'B', 'C', 'D']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,unsolvable,"['A', 'B', 'D', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,unsolvable,"['A', 'C', 'B', 'D']"
87,good,"['B', 'A', 'C', 'D']"
88,good,"['A', 'B', 'D', 'C']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'C', 'B', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'B', 'D', 'C']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'C', 'B', 'D']"
96,good,"['A', 'D', 'B', 'C']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['C', 'A', 'B', 'D']"
99,good,"['A', 'B', 'C', 'D']"
