prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,93.0,0.02445,0.00558,0.03003
815.0,121.0,0.02445,0.00726,0.03171
815.0,27.0,0.02445,0.00162,0.02607
815.0,94.0,0.02445,0.00564,0.03009
815.0,116.0,0.02445,0.00696,0.03141
815.0,29.0,0.02445,0.00174,0.026189999999999998
815.0,27.0,0.02445,0.00162,0.02607
815.0,143.0,0.02445,0.00858,0.033030000000000004
815.0,180.0,0.02445,0.010799999999999999,0.03525
815.0,62.0,0.02445,0.0037199999999999998,0.02817
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,9.0,0.02445,0.00054,0.02499
815.0,101.0,0.02445,0.006059999999999999,0.03051
815.0,25.0,0.02445,0.0015,0.02595
815.0,82.0,0.02445,0.00492,0.02937
815.0,140.0,0.02445,0.008400000000000001,0.032850000000000004
815.0,135.0,0.02445,0.0081,0.032549999999999996
815.0,9.0,0.02445,0.00054,0.02499
815.0,107.0,0.02445,0.00642,0.03087
815.0,145.0,0.02445,0.0087,0.03315
815.0,25.0,0.02445,0.0015,0.02595
815.0,88.0,0.02445,0.005279999999999999,0.02973
815.0,27.0,0.02445,0.00162,0.02607
815.0,9.0,0.02445,0.00054,0.02499
815.0,112.0,0.02445,0.006719999999999999,0.03117
815.0,111.0,0.02445,0.00666,0.03111
815.0,138.0,0.02445,0.00828,0.032729999999999995
815.0,74.0,0.02445,0.0044399999999999995,0.02889
815.0,55.0,0.02445,0.0033,0.02775
815.0,72.0,0.02445,0.00432,0.02877
815.0,87.0,0.02445,0.00522,0.02967
815.0,143.0,0.02445,0.00858,0.033030000000000004
815.0,27.0,0.02445,0.00162,0.02607
815.0,74.0,0.02445,0.0044399999999999995,0.02889
815.0,142.0,0.02445,0.00852,0.03297
815.0,25.0,0.02445,0.0015,0.02595
815.0,25.0,0.02445,0.0015,0.02595
815.0,25.0,0.02445,0.0015,0.02595
815.0,75.0,0.02445,0.0045,0.02895
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,201.0,0.02445,0.01206,0.03651
815.0,27.0,0.02445,0.00162,0.02607
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,27.0,0.02445,0.00162,0.02607
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,25.0,0.02445,0.0015,0.02595
815.0,79.0,0.02445,0.00474,0.02919
815.0,87.0,0.02445,0.00522,0.02967
815.0,117.0,0.02445,0.007019999999999999,0.03147
815.0,27.0,0.02445,0.00162,0.02607
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,148.0,0.02445,0.008879999999999999,0.03333
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,27.0,0.02445,0.00162,0.02607
815.0,25.0,0.02445,0.0015,0.02595
815.0,25.0,0.02445,0.0015,0.02595
815.0,27.0,0.02445,0.00162,0.02607
815.0,27.0,0.02445,0.00162,0.02607
815.0,128.0,0.02445,0.007679999999999999,0.03213
815.0,25.0,0.02445,0.0015,0.02595
815.0,74.0,0.02445,0.0044399999999999995,0.02889
815.0,72.0,0.02445,0.00432,0.02877
815.0,25.0,0.02445,0.0015,0.02595
815.0,236.0,0.02445,0.01416,0.03861
815.0,102.0,0.02445,0.0061200000000000004,0.03057
815.0,75.0,0.02445,0.0045,0.02895
815.0,9.0,0.02445,0.00054,0.02499
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,27.0,0.02445,0.00162,0.02607
815.0,92.0,0.02445,0.00552,0.02997
815.0,178.0,0.02445,0.01068,0.03513
815.0,114.0,0.02445,0.00684,0.03129
815.0,27.0,0.02445,0.00162,0.02607
815.0,27.0,0.02445,0.00162,0.02607
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,93.0,0.02445,0.00558,0.03003
815.0,9.0,0.02445,0.00054,0.02499
815.0,216.0,0.02445,0.01296,0.03741
815.0,87.0,0.02445,0.00522,0.02967
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,27.0,0.02445,0.00162,0.02607
815.0,27.0,0.02445,0.00162,0.02607
815.0,78.0,0.02445,0.00468,0.02913
815.0,234.0,0.02445,0.014039999999999999,0.038489999999999996
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,84.0,0.02445,0.00504,0.02949
815.0,27.0,0.02445,0.00162,0.02607
815.0,29.0,0.02445,0.00174,0.026189999999999998
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,87.0,0.02445,0.00522,0.02967
815.0,157.0,0.02445,0.00942,0.03387
815.0,127.0,0.02445,0.00762,0.03207
815.0,86.0,0.02445,0.0051600000000000005,0.02961
815.0,152.0,0.02445,0.00912,0.03357
815.0,31.0,0.02445,0.0018599999999999999,0.02631
815.0,83.0,0.02445,0.004979999999999999,0.029429999999999998
815.0,75.0,0.02445,0.0045,0.02895
815.0,27.0,0.02445,0.00162,0.02607
815.0,82.0,0.02445,0.00492,0.02937
