index,good/bad/unsolvable,reply
0,bad,"['U', 'n', 'a', 'b', 'l']"
1,good,"['D', 'C', 'E', 'F', 'G']"
2,good,"['D', 'G', 'E', 'C', 'B']"
3,bad,"['U', 'n', 'a', 'b', 'l']"
4,bad,"['U', 'n', 'a', 'b', 'l']"
5,good,"['D', 'A', 'B', 'C', 'E']"
6,bad,"['T', 'h', 'e', 'r', 'e']"
7,good,"['A', 'D', 'C', 'E', 'G']"
8,good,"['D', 'F', 'I', 'J', 'L']"
9,bad,[]
10,bad,"['U', 'n', 'a', 'b', 'l']"
11,good,"['D', 'C', 'B', 'A', 'M']"
12,bad,"['G', 'i', 'v', 'e', 'n']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,bad,"['U', 'n', 'a', 'b', 'l']"
15,bad,"['B', 'a', 's', 'e', 'd']"
16,good,"['D', 'C', 'F', 'B', 'E']"
17,bad,[]
18,good,"['D', 'A', 'C', 'F', 'M']"
19,good,"['D', 'A', 'B', 'C', 'F']"
20,bad,"['U', 'n', 'a', 'b', 'l']"
21,good,"['D', 'C', 'B', 'M', 'F']"
22,good,"['D', 'K', 'H', 'L', 'A']"
23,bad,"['G', 'i', 'v', 'e', 'n']"
24,good,"['D', 'A', 'C', 'M', 'B']"
25,bad,"['U', 'n', 'a', 'b', 'l']"
26,good,"['D', 'B', 'F', 'J', 'L']"
27,bad,"['U', 'n', 'a', 'b', 'l']"
28,bad,"['U', 'n', 'a', 'b', 'l']"
29,good,"['A', 'B', 'C', 'D', 'E']"
30,good,"['A', 'B', 'C', 'D', 'M']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,bad,"['B', 'a', 's', 'e', 'd']"
33,bad,"['U', 'n', 'a', 'b', 'l']"
34,bad,"['G', 'i', 'v', 'e', 'n']"
35,good,"['D', 'E', 'F', 'G', 'H']"
36,bad,"['U', 'n', 'a', 'b', 'l']"
37,good,"['D', 'E', 'F', 'G', 'H']"
38,good,"['D', 'A', 'E', 'F', 'B']"
39,bad,"['U', 'n', 'a', 'b', 'l']"
40,bad,"['B', 'a', 's', 'e', 'd']"
41,good,"['A', 'B', 'C', 'D', 'E']"
42,good,"['D', 'A', 'B', 'E', 'F']"
43,bad,"['G', 'i', 'v', 'e', 'n']"
44,good,"['A', 'D', 'L', 'G', 'E']"
45,good,"['A', 'B', 'C', 'D', 'E']"
46,bad,"['U', 'n', 'a', 'b', 'l']"
47,good,"['A', 'D', 'C', 'E', 'F']"
48,bad,"['0', '0', '0', '7']"
49,good,"['D', 'I', 'F', 'B', 'C']"
50,bad,"['U', 'n', 'a', 'b', 'l']"
51,bad,"['U', 'n', 'a', 'b', 'l']"
52,bad,"['U', 'n', 'a', 'b', 'l']"
53,good,"['D', 'C', 'B', 'A', 'E']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,good,"['A', 'B', 'C', 'D', 'E']"
56,bad,"['U', 'n', 'a', 'b', 'l']"
57,bad,"['U', 'n', 'a', 'b', 'l']"
58,good,"['A', 'B', 'C', 'D', 'E']"
59,bad,"['U', 'n', 'a', 'b', 'l']"
60,bad,"['U', 'n', 'a', 'b', 'l']"
61,good,"['A', 'B', 'C', 'D', 'E']"
62,good,"['A', 'B', 'C', 'D', 'E']"
63,bad,"['U', 'n', 'a', 'b', 'l']"
64,bad,"['U', 'n', 'a', 'b', 'l']"
65,good,"['A', 'B', 'C', 'D', 'E']"
66,bad,"['U', 'n', 'a', 'b', 'l']"
67,good,"['D', 'A', 'F', 'B', 'E']"
68,bad,"['U', 'n', 'a', 'b', 'l']"
69,bad,[]
70,good,"['D', 'A', 'B', 'C', 'E']"
71,bad,"['F', 'o', 'r', 'e', 'x']"
72,bad,"['U', 'n', 'a', 'b', 'l']"
73,bad,[]
74,good,"['A', 'B', 'D', 'E', 'F']"
75,bad,"['U', 'n', 'a', 'b', 'l']"
76,bad,"['T', 'o', 'g', 'e', 't']"
77,bad,"['U', 'n', 'a', 'b', 'l']"
78,good,"['D', 'A', 'B', 'C', 'F']"
79,bad,"['U', 'n', 'a', 'b', 'l']"
80,good,"['A', 'B', 'C', 'D', 'E']"
81,good,"['D', 'C', 'A', 'F', 'G']"
82,bad,"['U', 'n', 'a', 'b', 'l']"
83,good,"['A', 'B', 'C', 'D', 'E']"
84,good,"['D', 'C', 'A', 'B', 'E']"
85,good,"['A', 'B', 'C', 'D', 'E']"
86,unsolvable,"['C', 'a', 'n', 'n', 'o']"
87,bad,"['U', 'n', 'a', 'b', 'l']"
88,bad,"['U', 'n', 'a', 'b', 'l']"
89,good,"['A', 'B', 'C', 'D', 'E']"
90,bad,"['U', 'n', 'a', 'b', 'l']"
91,bad,"['U', 'n', 'a', 'b', 'l']"
92,good,"['D', 'A', 'B', 'C', 'E']"
93,bad,"['U', 'n', 'a', 'b', 'l']"
94,good,"['D', 'E', 'I', 'F', 'C']"
95,good,"['D', 'A', 'B', 'C', 'E']"
96,good,"['A', 'B', 'C', 'D', 'E']"
97,good,"['A', 'B', 'C', 'D', 'E']"
98,bad,"['U', 'n', 'a', 'b', 'l']"
99,bad,"['G', 'i', 'v', 'e', 'n']"
