prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1811.0,73.0,0.001811,0.000146,0.001957
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,65.0,0.001811,0.00013000000000000002,0.001941
1811.0,60.0,0.001811,0.00011999999999999999,0.001931
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,38.0,0.001811,7.6e-05,0.0018869999999999998
1811.0,77.0,0.001811,0.000154,0.0019649999999999997
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,73.0,0.001811,0.000146,0.001957
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,28.0,0.001811,5.6e-05,0.001867
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,60.0,0.001811,0.00011999999999999999,0.001931
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,72.0,0.001811,0.000144,0.0019549999999999997
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,91.0,0.001811,0.000182,0.001993
1811.0,29.0,0.001811,5.8e-05,0.001869
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,64.0,0.001811,0.000128,0.001939
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,60.0,0.001811,0.00011999999999999999,0.001931
1811.0,65.0,0.001811,0.00013000000000000002,0.001941
1811.0,64.0,0.001811,0.000128,0.001939
1811.0,78.0,0.001811,0.000156,0.001967
1811.0,28.0,0.001811,5.6e-05,0.001867
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,78.0,0.001811,0.000156,0.001967
1811.0,28.0,0.001811,5.6e-05,0.001867
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,75.0,0.001811,0.00015,0.001961
1811.0,58.0,0.001811,0.000116,0.001927
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,65.0,0.001811,0.00013000000000000002,0.001941
1811.0,75.0,0.001811,0.00015,0.001961
1811.0,94.0,0.001811,0.000188,0.001999
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,85.0,0.001811,0.00017,0.001981
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,87.0,0.001811,0.00017400000000000003,0.001985
1811.0,64.0,0.001811,0.000128,0.001939
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,88.0,0.001811,0.000176,0.001987
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,68.0,0.001811,0.000136,0.001947
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,63.0,0.001811,0.000126,0.001937
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,71.0,0.001811,0.000142,0.0019529999999999999
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,28.0,0.001811,5.6e-05,0.001867
1811.0,41.0,0.001811,8.2e-05,0.001893
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,59.0,0.001811,0.00011800000000000001,0.001929
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,61.0,0.001811,0.000122,0.0019329999999999998
1811.0,62.0,0.001811,0.000124,0.0019349999999999999
1811.0,88.0,0.001811,0.000176,0.001987
1811.0,64.0,0.001811,0.000128,0.001939
1811.0,68.0,0.001811,0.000136,0.001947
1811.0,91.0,0.001811,0.000182,0.001993
1811.0,70.0,0.001811,0.00014000000000000001,0.0019509999999999998
1811.0,74.0,0.001811,0.000148,0.001959
1811.0,73.0,0.001811,0.000146,0.001957
1811.0,77.0,0.001811,0.000154,0.0019649999999999997
