Method,PGU_3,PGI_3,Dataset,Model,FA_3,RA_3
grad,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
sg,0.063+/-0.005,0.14+/-0.009,compas,ann_xl,,
ig,0.063+/-0.005,0.139+/-0.009,compas,ann_xl,,
itg,0.105+/-0.008,0.105+/-0.008,compas,ann_xl,,
grad,,,adult,lr,,
sg,,,adult,lr,,
ig,,,adult,lr,,
itg,,,adult,lr,,
grad,,,adult,ann_l,,
sg,,,adult,ann_l,,
ig,,,adult,ann_l,,
itg,,,adult,ann_l,,
grad,,,german,lr,,
sg,,,german,lr,,
ig,,,german,lr,,
itg,,,german,lr,,
grad,,,german,ann_l,,
sg,,,german,ann_l,,
ig,,,german,ann_l,,
itg,,,german,ann_l,,
grad,,,heloc,lr,,
sg,,,heloc,lr,,
ig,,,heloc,lr,,
itg,,,heloc,lr,,
grad,,,heloc,ann_l,,
sg,,,heloc,ann_l,,
ig,,,heloc,ann_l,,
itg,,,heloc,ann_l,,
grad,,,credit,lr,,
sg,,,credit,lr,,
ig,,,credit,lr,,
itg,,,credit,lr,,
grad,,,credit,ann_l,,
sg,,,credit,ann_l,,
ig,,,credit,ann_l,,
itg,,,credit,ann_l,,
grad,,,blood,lr,,
sg,,,blood,lr,,
ig,,,blood,lr,,
itg,,,blood,lr,,
grad,,,blood,ann_l,,
sg,,,blood,ann_l,,
ig,,,blood,ann_l,,
itg,,,blood,ann_l,,
grad,,,beauty,lr,,
sg,,,beauty,lr,,
ig,,,beauty,lr,,
itg,,,beauty,lr,,
grad,,,beauty,ann_l,,
sg,,,beauty,ann_l,,
ig,,,beauty,ann_l,,
itg,,,beauty,ann_l,,
