index,good/bad/unsolvable,reply
0,good,"['D', 'F', 'B', 'G', 'E']"
1,good,"['D', 'I', 'A', 'E', 'F']"
2,good,"['D', 'G', 'E', 'I', 'H']"
3,good,"['D', 'A', 'E', 'F', 'G']"
4,good,"['D', 'I', 'J', 'F', 'H']"
5,good,"['D', 'B', 'F', 'G', 'I']"
6,good,"['D', 'G', 'I', 'F', 'E']"
7,good,"['D', 'G', 'A', 'M', 'C']"
8,good,"['D', 'A', 'E', 'F', 'H']"
9,good,"['D', 'J', 'M', 'A', 'F']"
10,good,"['D', 'F', 'G', 'H', 'E']"
11,good,"['D', 'A', 'E', 'F', 'M']"
12,good,"['D', 'H', 'A', 'F', 'G']"
13,good,"['D', 'C', 'M', 'B', 'A']"
14,good,"['D', 'B', 'G', 'J', 'M']"
15,good,"['D', 'G', 'H', 'I', 'M']"
16,good,"['D', 'A', 'F', 'E', 'M']"
17,good,"['D', 'B', 'G', 'H', 'E']"
18,good,"['D', 'C', 'E', 'F', 'M']"
19,good,"['D', 'M', 'A', 'E', 'F']"
20,good,"['D', 'E', 'F', 'I', 'G']"
21,good,"['D', 'H', 'I', 'J', 'E']"
22,good,"['D', 'G', 'E', 'A', 'F']"
23,good,"['D', 'F', 'G', 'E', 'B']"
24,good,"['D', 'G', 'H', 'B', 'E']"
25,good,"['D', 'F', 'E', 'G', 'H']"
26,good,"['D', 'A', 'B', 'C', 'E']"
27,good,"['D', 'G', 'L', 'C', 'M']"
28,good,"['D', 'C', 'M', 'H', 'A']"
29,good,"['D', 'F', 'E', 'G', 'H']"
30,good,"['D', 'F', 'E', 'G', 'I']"
31,good,"['D', 'F', 'G', 'B', 'E']"
32,good,"['D', 'F', 'E', 'B', 'C']"
33,good,"['D', 'H', 'K', 'B', 'M']"
34,good,"['D', 'A', 'G', 'M', 'E']"
35,good,"['D', 'F', 'A', 'E', 'M']"
36,good,"['D', 'A', 'H', 'I', 'E']"
37,good,"['D', 'A', 'M', 'E', 'F']"
38,good,"['D', 'A', 'F', 'G', 'M']"
39,good,"['D', 'F', 'G', 'E', 'M']"
40,good,"['D', 'C', 'G', 'H', 'E']"
41,good,"['D', 'G', 'H', 'A', 'M']"
42,good,"['D', 'A', 'M', 'E', 'F']"
43,good,"['D', 'F', 'G', 'B', 'E']"
44,good,"['D', 'F', 'I', 'G', 'E']"
45,good,"['C', 'D', 'A', 'B', 'E']"
46,good,"['D', 'G', 'J', 'F', 'C']"
47,good,"['D', 'I', 'H', 'B', 'E']"
48,good,"['D', 'G', 'E', 'I', 'A']"
49,good,"['D', 'I', 'F', 'A', 'G']"
50,good,"['D', 'A', 'M', 'F', 'G']"
51,good,"['D', 'E', 'F', 'B', 'I']"
52,good,"['D', 'B', 'F', 'I', 'E']"
53,good,"['D', 'G', 'J', 'E', 'M']"
54,good,"['D', 'C', 'K', 'E', 'F']"
55,good,"['D', 'E', 'B', 'G', 'A']"
56,good,"['D', 'G', 'M', 'E', 'F']"
57,good,"['D', 'E', 'F', 'G', 'A']"
58,good,"['D', 'G', 'I', 'B', 'F']"
59,good,"['D', 'F', 'E', 'H', 'B']"
60,good,"['D', 'A', 'F', 'G', 'E']"
61,good,"['D', 'A', 'F', 'I', 'L']"
62,good,"['D', 'H', 'I', 'F', 'M']"
63,good,"['D', 'E', 'F', 'A', 'B']"
64,good,"['D', 'C', 'E', 'F', 'G']"
65,good,"['D', 'A', 'M', 'F', 'E']"
66,good,"['D', 'G', 'J', 'A', 'F']"
67,good,"['D', 'A', 'E', 'F', 'I']"
68,good,"['D', 'I', 'E', 'F', 'H']"
69,good,"['D', 'F', 'E', 'G', 'A']"
70,good,"['D', 'A', 'G', 'H', 'E']"
71,good,"['D', 'A', 'B', 'G', 'M']"
72,good,"['C', 'D', 'F', 'H', 'E']"
73,good,"['D', 'M', 'F', 'H', 'B']"
74,good,"['D', 'I', 'A', 'E', 'G']"
75,good,"['D', 'F', 'G', 'E', 'M']"
76,bad,"['T', 'h', 'e', 'r', 'e']"
77,good,"['D', 'B', 'E', 'F', 'G']"
78,good,"['D', 'C', 'M', 'F', 'B']"
79,bad,"['s', 'e', 'l', 'e', 'c']"
80,good,"['D', 'A', 'E', 'F', 'G']"
81,good,"['D', 'G', 'H', 'A', 'B']"
82,good,"['D', 'F', 'H', 'G', 'E']"
83,good,"['D', 'F', 'H', 'A', 'M']"
84,good,"['D', 'A', 'F', 'I', 'E']"
85,good,"['D', 'I', 'E', 'F', 'G']"
86,unsolvable,"['C', 'M', 'G', 'D', 'I']"
87,good,"['D', 'G', 'I', 'E', 'F']"
88,good,"['D', 'M', 'A', 'F', 'E']"
89,good,"['D', 'A', 'B', 'G', 'M']"
90,good,"['D', 'A', 'E', 'F', 'G']"
91,good,"['D', 'H', 'A', 'F', 'G']"
92,good,"['D', 'A', 'E', 'F', 'G']"
93,good,"['D', 'I', 'A', 'F', 'M']"
94,good,"['D', 'I', 'F', 'H', 'A']"
95,good,"['D', 'G', 'E', 'F', 'I']"
96,good,"['D', 'G', 'E', 'F', 'B']"
97,good,"['D', 'E', 'A', 'F', 'G']"
98,good,"['D', 'A', 'M', 'I', 'J']"
99,good,"['D', 'A', 'B', 'F', 'G']"
