Method,PGI,PGU
gpt-4-0125-preview-0125-preview_pgicl,0.329+/-0.045,0.214+/-0.039
gpt-4-0125-preview-0125-preview_v1,0.295+/-0.040,0.263+/-0.039
gpt-4_pgicl,0.318+/-0.043,0.251+/-0.038
gpt-4_v1,0.332+/-0.038,0.205+/-0.031
la,0.140+/-0.028,0.418+/-0.048
lc,0.178+/-0.033,0.339+/-0.042
ldl,0.208+/-0.034,0.367+/-0.046
lgshap,0.186+/-0.033,0.375+/-0.046
lgxa,0.229+/-0.037,0.373+/-0.045
lig,0.217+/-0.035,0.394+/-0.047
lime1000,0.486+/-0.039,0.163+/-0.031
lime16,0.359+/-0.044,0.201+/-0.034
random,0.291+/-0.032,0.284+/-0.031
