index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'E', 'F', 'M']"
1,good,"['D', 'A', 'F', 'I', 'C']"
2,good,"['D', 'G', 'F', 'E', 'A']"
3,good,"['D', 'A', 'F', 'G', 'E']"
4,good,"['D', 'C', 'F', 'E', 'J']"
5,good,"['D', 'I', 'A', 'F', 'E']"
6,good,"['D', 'M', 'G', 'A', 'F']"
7,good,"['D', 'H', 'A', 'M', 'C']"
8,good,"['D', 'I', 'F', 'B', 'E']"
9,good,"['D', 'M', 'F', 'G', 'E']"
10,good,"['D', 'H', 'F', 'M', 'B']"
11,good,"['D', 'M', 'F', 'B', 'E']"
12,good,"['D', 'A', 'F', 'G', 'H']"
13,bad,"['a', 'm', 'o', 'n', 'g']"
14,good,"['D', 'A', 'E', 'M', 'F']"
15,good,"['D', 'C', 'M', 'G', 'E']"
16,good,"['D', 'M', 'A', 'F', 'E']"
17,good,"['D', 'E', 'C', 'A', 'B']"
18,good,"['D', 'M', 'A', 'F', 'E']"
19,good,"['D', 'F', 'A', 'E', 'G']"
20,good,"['D', 'A', 'E', 'F', 'G']"
21,good,"['D', 'H', 'A', 'E', 'M']"
22,good,"['D', 'A', 'E', 'F', 'I']"
23,good,"['D', 'F', 'G', 'E', 'B']"
24,good,"['D', 'G', 'F', 'M', 'E']"
25,good,"['D', 'A', 'F', 'E', 'B']"
26,bad,"['m', 'o', 'r', 'e', 'i']"
27,good,"['D', 'F', 'G', 'I', 'C']"
28,good,"['D', 'C', 'G', 'E', 'B']"
29,good,"['D', 'F', 'E', 'G', 'A']"
30,good,"['D', 'G', 'H', 'J', 'F']"
31,good,"['D', 'F', 'I', 'E', 'G']"
32,good,"['D', 'A', 'E', 'F', 'G']"
33,good,"['D', 'B', 'F', 'K', 'A']"
34,good,"['D', 'F', 'G', 'E', 'B']"
35,good,"['D', 'F', 'C', 'E', 'H']"
36,good,"['D', 'A', 'F', 'G', 'E']"
37,good,"['D', 'K', 'A', 'E', 'M']"
38,good,"['D', 'E', 'G', 'A', 'F']"
39,good,"['D', 'G', 'I', 'A', 'F']"
40,good,"['D', 'C', 'F', 'G', 'E']"
41,good,"['D', 'A', 'F', 'E', 'G']"
42,good,"['D', 'F', 'E', 'I', 'G']"
43,bad,"['q', 'u', 'i', 't', 'e']"
44,good,"['D', 'M', 'A', 'F', 'G']"
45,good,"['D', 'H', 'E', 'I', 'A']"
46,good,"['D', 'F', 'M', 'G', 'H']"
47,good,"['D', 'A', 'B', 'H', 'I']"
48,good,"['D', 'G', 'A', 'M', 'E']"
49,good,"['D', 'C', 'H', 'A', 'M']"
50,good,"['D', 'G', 'I', 'M', 'E']"
51,good,"['D', 'I', 'E', 'B', 'F']"
52,good,"['D', 'F', 'E', 'B', 'H']"
53,good,"['D', 'F', 'G', 'J', 'E']"
54,good,"['D', 'M', 'A', 'E', 'F']"
55,good,"['D', 'F', 'G', 'M', 'B']"
56,good,"['D', 'A', 'H', 'B', 'E']"
57,good,"['D', 'C', 'F', 'H', 'M']"
58,good,"['D', 'I', 'A', 'B', 'E']"
59,good,"['D', 'A', 'E', 'F', 'C']"
60,good,"['D', 'H', 'M', 'A', 'C']"
61,good,"['D', 'M', 'A', 'F', 'G']"
62,good,"['D', 'F', 'E', 'B', 'H']"
63,good,"['D', 'A', 'B', 'F', 'G']"
64,good,"['D', 'A', 'G', 'H', 'E']"
65,good,"['D', 'F', 'I', 'E', 'M']"
66,good,"['D', 'G', 'A', 'E', 'F']"
67,good,"['D', 'F', 'A', 'M', 'E']"
68,good,"['D', 'A', 'G', 'E', 'F']"
69,good,"['D', 'E', 'A', 'G', 'H']"
70,good,"['D', 'A', 'F', 'M', 'E']"
71,good,"['D', 'A', 'F', 'H', 'E']"
72,good,"['D', 'A', 'F', 'C', 'E']"
73,good,"['D', 'E', 'F', 'G', 'A']"
74,good,"['D', 'A', 'I', 'G', 'E']"
75,good,"['D', 'F', 'G', 'A', 'E']"
76,good,"['D', 'B', 'E', 'F', 'H']"
77,good,"['D', 'B', 'E', 'F', 'G']"
78,good,"['D', 'M', 'H', 'F', 'C']"
79,good,"['D', 'I', 'E', 'F', 'G']"
80,good,"['D', 'E', 'F', 'G', 'A']"
81,good,"['D', 'F', 'G', 'B', 'E']"
82,good,"['D', 'G', 'B', 'F', 'E']"
83,good,"['D', 'F', 'J', 'A', 'E']"
84,good,"['D', 'A', 'F', 'H', 'M']"
85,good,"['D', 'G', 'I', 'E', 'F']"
86,unsolvable,"['C', 'D', 'M', 'G', 'I']"
87,good,"['D', 'F', 'G', 'I', 'E']"
88,good,"['D', 'C', 'G', 'E', 'A']"
89,good,"['D', 'F', 'G', 'H', 'E']"
90,good,"['D', 'E', 'F', 'G', 'H']"
91,good,"['D', 'M', 'E', 'F', 'H']"
92,good,"['D', 'A', 'M', 'F', 'E']"
93,good,"['D', 'A', 'E', 'F', 'I']"
94,good,"['D', 'I', 'A', 'F', 'E']"
95,bad,[]
96,good,"['D', 'A', 'F', 'G', 'H']"
97,good,"['D', 'H', 'I', 'A', 'F']"
98,good,"['D', 'F', 'I', 'A', 'E']"
99,good,"['D', 'G', 'A', 'H', 'E']"
