index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'C', 'F', 'H']"
1,good,"['D', 'B', 'C', 'A', 'E']"
2,good,"['D', 'A', 'B', 'C', 'E']"
3,good,"['D', 'A', 'B', 'C', 'E']"
4,good,"['D', 'C', 'B', 'L', 'J']"
5,good,"['D', 'L', 'A', 'F', 'H']"
6,good,"['D', 'C', 'M', 'G', 'K']"
7,good,"['D', 'C', 'B', 'A', 'E']"
8,good,"['D', 'B', 'A', 'C', 'E']"
9,good,"['D', 'C', 'B', 'F', 'M']"
10,good,"['D', 'E', 'F', 'G', 'I']"
11,good,"['D', 'C', 'M', 'B', 'A']"
12,good,"['D', 'E', 'M', 'K', 'I']"
13,good,"['M', 'D', 'C', 'B', 'A']"
14,good,"['D', 'B', 'A', 'C', 'E']"
15,good,"['D', 'K', 'C', 'A', 'E']"
16,good,"['D', 'C', 'A', 'B', 'F']"
17,good,"['M', 'D', 'J', 'C', 'B']"
18,good,"['D', 'M', 'D', 'E', 'F']"
19,good,"['D', 'C', 'F', 'K', 'L']"
20,good,"['D', 'C', 'B', 'J', 'K']"
21,good,"['D', 'K', 'B', 'C', 'A']"
22,good,"['D', 'A', 'B', 'E', 'F']"
23,good,"['D', 'B', 'H', 'J', 'L']"
24,good,"['D', 'C', 'M', 'K', 'A']"
25,good,"['D', 'B', 'G', 'I', 'M']"
26,good,"['M', 'J', 'G', 'D', 'C']"
27,good,"['D', 'C', 'B', 'A', 'F']"
28,good,"['D', 'E', 'F', 'B', 'A']"
29,good,"['D', 'F', 'G', 'K', 'J']"
30,good,"['D', 'M', 'B', 'G', 'I']"
31,good,"['D', 'A', 'C', 'E', 'F']"
32,good,"['A', 'D', 'B', 'F', 'E']"
33,good,"['D', 'C', 'A', 'B', 'E']"
34,good,"['D', 'B', 'G', 'E', 'K']"
35,good,"['D', 'C', 'E', 'G', 'I']"
36,good,"['D', 'L', 'B', 'H', 'J']"
37,good,"['D', 'C', 'B', 'A', 'E']"
38,good,"['D', 'A', 'C', 'F', 'G']"
39,good,"['D', 'A', 'E', 'F', 'G']"
40,good,"['D', 'B', 'L', 'C', 'A']"
41,good,"['D', 'B', 'C', 'F', 'H']"
42,good,"['D', 'B', 'A', 'E', 'C']"
43,good,"['H', 'D', 'C', 'B', 'A']"
44,good,"['D', 'L', 'G', 'B', 'A']"
45,good,"['D', 'B', 'E', 'I', 'J']"
46,good,"['D', 'C', 'A', 'E', 'B']"
47,good,"['D', 'C', 'F', 'H', 'J']"
48,good,"['D', 'J', 'K', 'M', 'G']"
49,good,"['D', 'B', 'M', 'K', 'I']"
50,good,"['M', 'J', 'G', 'D', 'K']"
51,good,"['L', 'D', 'C', 'J', 'I']"
52,good,"['D', 'C', 'F', 'K', 'A']"
53,good,"['D', 'C', 'E', 'F', 'G']"
54,good,"['M', 'D', 'E', 'G', 'H']"
55,good,"['D', 'B', 'C', 'A', 'E']"
56,good,"['D', 'C', 'A', 'B', 'E']"
57,good,"['D', 'C', 'E', 'F', 'I']"
58,good,"['D', 'C', 'F', 'I', 'B']"
59,good,"['D', 'A', 'B', 'C', 'E']"
60,good,"['D', 'C', 'A', 'B', 'F']"
61,good,"['D', 'B', 'C', 'A', 'E']"
62,good,"['D', 'A', 'B', 'C', 'E']"
63,good,"['D', 'B', 'A', 'C', 'F']"
64,good,"['D', 'B', 'A', 'C', 'F']"
65,good,"['D', 'C', 'H', 'M', 'B']"
66,good,"['J', 'G', 'C', 'D', 'B']"
67,good,"['D', 'J', 'A', 'B', 'H']"
68,good,"['K', 'D', 'C', 'A', 'F']"
69,good,"['D', 'A', 'G', 'K', 'F']"
70,good,"['A', 'D', 'B', 'F', 'I']"
71,good,"['D', 'B', 'A', 'C', 'E']"
72,good,"['D', 'A', 'B', 'C', 'G']"
73,good,"['D', 'B', 'A', 'C', 'E']"
74,good,"['D', 'F', 'B', 'J', 'L']"
75,good,"['D', 'B', 'C', 'A', 'H']"
76,good,"['D', 'C', 'A', 'H', 'B']"
77,good,"['D', 'C', 'A', 'B', 'E']"
78,good,"['D', 'C', 'H', 'K', 'L']"
79,good,"['D', 'B', 'C', 'A', 'F']"
80,good,"['A', 'D', 'C', 'F', 'J']"
81,good,"['D', 'C', 'H', 'K', 'A']"
82,good,"['D', 'C', 'K', 'B', 'A']"
83,good,"['D', 'A', 'B', 'C', 'E']"
84,good,"['D', 'A', 'C', 'E', 'F']"
85,good,"['D', 'B', 'A', 'C', 'E']"
86,unsolvable,"['n', 'o', 't', 'p', 'o']"
87,good,"['D', 'G', 'K', 'C', 'A']"
88,good,"['D', 'G', 'C', 'A', 'H']"
89,good,"['D', 'B', 'H', 'J', 'M']"
90,good,"['D', 'A', 'C', 'E', 'F']"
91,good,"['D', 'M', 'A', 'B', 'C']"
92,good,"['D', 'K', 'L', 'B', 'C']"
93,good,"['D', 'C', 'B', 'A', 'E']"
94,good,"['D', 'B', 'H', 'L', 'K']"
95,good,"['D', 'C', 'B', 'A', 'F']"
96,good,"['D', 'C', 'E', 'K', 'M']"
97,good,"['D', 'H', 'B', 'C', 'F']"
98,good,"['I', 'D', 'M', 'C', 'A']"
99,good,"['D', 'C', 'B', 'A', 'F']"
