index,good/bad/unsolvable,reply
0,good,"['C', 'B', 'A', 'D']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['C', 'A', 'B', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'B', 'C', 'D']"
5,good,"['B', 'A', 'C', 'D']"
6,good,"['C', 'A', 'B', 'D']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['C', 'A', 'B', 'D']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['A', 'B', 'D', 'C']"
11,good,"['C', 'A', 'D', 'B']"
12,unsolvable,"['A', 'B', 'C', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'B', 'C', 'D']"
16,good,"['C', 'B', 'A', 'D']"
17,good,"['C', 'B', 'A', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'B', 'C', 'D']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['C', 'A', 'B', 'D']"
26,good,"['C', 'B', 'A', 'D']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'B', 'C', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'B', 'C', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'B', 'D']"
36,good,"['A', 'B', 'C', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'B', 'C', 'D']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['A', 'B', 'C', 'D']"
41,good,"['A', 'B', 'C', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'B', 'C', 'D']"
45,good,"['C', 'B', 'A', 'D']"
46,good,"['A', 'B', 'C', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['C', 'B', 'A', 'D']"
49,good,"['C', 'B', 'A', 'D']"
50,good,"['C', 'A', 'B', 'D']"
51,good,"['C', 'B', 'A', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'B', 'C', 'D']"
54,good,"['C', 'B', 'A', 'D']"
55,good,"['A', 'B', 'C', 'D']"
56,good,"['C', 'B', 'A', 'D']"
57,good,"['C', 'A', 'B', 'D']"
58,good,"['C', 'A', 'B', 'D']"
59,good,"['B', 'A', 'C', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['A', 'B', 'C', 'D']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['C', 'A', 'B', 'D']"
65,good,"['C', 'B', 'A', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,unsolvable,"['A', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'B', 'C', 'D']"
70,good,"['D', 'C', 'B', 'A']"
71,good,"['C', 'A', 'B', 'D']"
72,good,"['C', 'A', 'B', 'D']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['C', 'A', 'B', 'D']"
76,good,"['A', 'B', 'C', 'D']"
77,good,"['C', 'A', 'B', 'D']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'B', 'C', 'D']"
80,good,"['C', 'A', 'B', 'D']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['C', 'B', 'A', 'D']"
85,good,"['A', 'B', 'C', 'D']"
86,good,"['A', 'B', 'C', 'D']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['A', 'B', 'C', 'D']"
89,good,"['C', 'B', 'A', 'D']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['C', 'B', 'A', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['C', 'A', 'B', 'D']"
99,good,"['C', 'B', 'A', 'D']"
