prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
386.0,188.0,0.01158,0.01128,0.02286
491.0,84.0,0.014729999999999998,0.00504,0.01977
1039.0,127.0,0.03117,0.00762,0.03879
554.0,83.0,0.01662,0.004979999999999999,0.021599999999999998
739.0,158.0,0.02217,0.00948,0.03165
509.0,97.0,0.015269999999999999,0.00582,0.021089999999999998
454.0,123.0,0.013619999999999998,0.00738,0.020999999999999998
664.0,174.0,0.019919999999999997,0.01044,0.030359999999999998
439.0,104.0,0.01317,0.00624,0.01941
556.0,83.0,0.01668,0.004979999999999999,0.02166
476.0,236.0,0.01428,0.01416,0.02844
420.0,78.0,0.0126,0.00468,0.01728
374.0,225.0,0.011219999999999999,0.0135,0.02472
623.0,104.0,0.01869,0.00624,0.024929999999999997
574.0,86.0,0.01722,0.0051600000000000005,0.02238
451.0,69.0,0.013529999999999999,0.00414,0.017669999999999998
596.0,92.0,0.01788,0.00552,0.0234
368.0,67.0,0.01104,0.004019999999999999,0.015059999999999999
503.0,83.0,0.01509,0.004979999999999999,0.020069999999999998
583.0,85.0,0.01749,0.0050999999999999995,0.02259
387.0,123.0,0.011609999999999999,0.00738,0.01899
630.0,177.0,0.0189,0.01062,0.029519999999999998
852.0,111.0,0.02556,0.00666,0.03222
693.0,140.0,0.02079,0.008400000000000001,0.02919
571.0,91.0,0.01713,0.00546,0.02259
596.0,72.0,0.01788,0.00432,0.0222
438.0,145.0,0.013139999999999999,0.0087,0.02184
735.0,140.0,0.02205,0.008400000000000001,0.03045
568.0,127.0,0.01704,0.00762,0.02466
434.0,85.0,0.01302,0.0050999999999999995,0.01812
422.0,179.0,0.01266,0.01074,0.023399999999999997
359.0,76.0,0.01077,0.00456,0.01533
588.0,90.0,0.01764,0.005399999999999999,0.023039999999999998
399.0,176.0,0.011969999999999998,0.010559999999999998,0.022529999999999994
416.0,129.0,0.01248,0.0077399999999999995,0.02022
543.0,71.0,0.01629,0.00426,0.02055
573.0,101.0,0.017189999999999997,0.006059999999999999,0.023249999999999996
451.0,70.0,0.013529999999999999,0.004200000000000001,0.01773
695.0,147.0,0.020849999999999997,0.00882,0.029669999999999995
887.0,99.0,0.026609999999999998,0.005939999999999999,0.032549999999999996
554.0,96.0,0.01662,0.0057599999999999995,0.022379999999999997
670.0,135.0,0.020099999999999996,0.0081,0.028199999999999996
478.0,118.0,0.01434,0.00708,0.02142
449.0,113.0,0.01347,0.00678,0.020249999999999997
746.0,86.0,0.02238,0.0051600000000000005,0.027540000000000002
745.0,86.0,0.02235,0.0051600000000000005,0.02751
513.0,117.0,0.01539,0.007019999999999999,0.02241
407.0,147.0,0.012209999999999999,0.00882,0.02103
491.0,58.0,0.014729999999999998,0.00348,0.018209999999999997
508.0,108.0,0.01524,0.00648,0.02172
616.0,96.0,0.01848,0.0057599999999999995,0.024239999999999998
494.0,101.0,0.01482,0.006059999999999999,0.02088
546.0,98.0,0.01638,0.00588,0.02226
393.0,184.0,0.011789999999999998,0.01104,0.022829999999999996
394.0,123.0,0.01182,0.00738,0.019200000000000002
415.0,85.0,0.01245,0.0050999999999999995,0.01755
494.0,52.0,0.01482,0.00312,0.01794
475.0,96.0,0.01425,0.0057599999999999995,0.02001
406.0,87.0,0.01218,0.00522,0.0174
622.0,87.0,0.01866,0.00522,0.02388
393.0,93.0,0.011789999999999998,0.00558,0.017369999999999997
606.0,126.0,0.018179999999999998,0.00756,0.02574
482.0,66.0,0.014459999999999999,0.00396,0.01842
417.0,101.0,0.01251,0.006059999999999999,0.01857
376.0,57.0,0.01128,0.00342,0.0147
514.0,118.0,0.01542,0.00708,0.0225
375.0,138.0,0.01125,0.00828,0.01953
366.0,121.0,0.01098,0.00726,0.01824
746.0,108.0,0.02238,0.00648,0.02886
569.0,93.0,0.017070000000000002,0.00558,0.022650000000000003
600.0,166.0,0.018,0.009959999999999998,0.02796
406.0,50.0,0.01218,0.003,0.015179999999999999
390.0,156.0,0.011699999999999999,0.00936,0.02106
479.0,70.0,0.014369999999999999,0.004200000000000001,0.01857
435.0,115.0,0.013049999999999999,0.0069,0.01995
702.0,87.0,0.02106,0.00522,0.026279999999999998
386.0,72.0,0.01158,0.00432,0.0159
449.0,76.0,0.01347,0.00456,0.018029999999999997
397.0,194.0,0.01191,0.01164,0.02355
588.0,119.0,0.01764,0.00714,0.02478
522.0,93.0,0.01566,0.00558,0.021240000000000002
484.0,89.0,0.01452,0.00534,0.01986
430.0,123.0,0.0129,0.00738,0.02028
584.0,128.0,0.01752,0.007679999999999999,0.0252
432.0,96.0,0.01296,0.0057599999999999995,0.01872
478.0,194.0,0.01434,0.01164,0.02598
513.0,96.0,0.01539,0.0057599999999999995,0.02115
429.0,72.0,0.01287,0.00432,0.01719
442.0,94.0,0.01326,0.00564,0.0189
529.0,90.0,0.01587,0.005399999999999999,0.021269999999999997
662.0,122.0,0.01986,0.007319999999999999,0.02718
427.0,84.0,0.012809999999999998,0.00504,0.017849999999999998
401.0,154.0,0.012029999999999999,0.00924,0.021269999999999997
532.0,82.0,0.01596,0.00492,0.02088
480.0,101.0,0.014399999999999998,0.006059999999999999,0.02046
475.0,89.0,0.01425,0.00534,0.01959
440.0,111.0,0.0132,0.00666,0.01986
484.0,68.0,0.01452,0.00408,0.0186
378.0,121.0,0.01134,0.00726,0.0186
423.0,51.0,0.01269,0.0030600000000000002,0.01575
