index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['A', 'C', 'B', 'D']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'C', 'D', 'B']"
8,good,"['C', 'A', 'D', 'B']"
9,unsolvable,"['D', 'C', 'A', 'B']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'C', 'B', 'D']"
13,good,"['A', 'C', 'B', 'D']"
14,good,"['C', 'A', 'D', 'B']"
15,good,"['A', 'D', 'C', 'B']"
16,good,"['A', 'B', 'C', 'D']"
17,good,"['A', 'C', 'B', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'C', 'B', 'D']"
20,unsolvable,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'C', 'B', 'D']"
23,good,"['A', 'C', 'B', 'D']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['C', 'A', 'B', 'D']"
26,good,"['C', 'A', 'D', 'B']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'C', 'B', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'D', 'C', 'B']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['C', 'B', 'A', 'D']"
36,good,"['A', 'C', 'B', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'B', 'C', 'D']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['A', 'C', 'B', 'D']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['A', 'C', 'B', 'D']"
44,good,"['D', 'C', 'B', 'A']"
45,good,"['A', 'B', 'C', 'D']"
46,good,"['A', 'B', 'C', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['C', 'A', 'D', 'B']"
49,good,"['A', 'C', 'B', 'D']"
50,good,"['A', 'C', 'B', 'D']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'C', 'D', 'B']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'C', 'B', 'D']"
56,good,"['A', 'D', 'C', 'B']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'C', 'D', 'B']"
60,good,"['A', 'C', 'B', 'D']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'C', 'B', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,unsolvable,"['A', 'B', 'C', 'D']"
68,good,"['C', 'A', 'B', 'D']"
69,good,"['A', 'C', 'D', 'B']"
70,good,"['A', 'B', 'C', 'D']"
71,good,"['B', 'C', 'D', 'A']"
72,good,"['C', 'A', 'B', 'D']"
73,good,"['A', 'C', 'B', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['A', 'C', 'B', 'D']"
76,good,"['A', 'B', 'C', 'D']"
77,good,"['A', 'B', 'D', 'C']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'D', 'B']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'D', 'C', 'B']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'C', 'B', 'D']"
87,good,"['A', 'D', 'C', 'B']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['A', 'B', 'C', 'D']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['C', 'A', 'B', 'D']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['C', 'A', 'B', 'D']"
95,good,"['A', 'C', 'B', 'D']"
96,good,"['A', 'C', 'B', 'D']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['A', 'C', 'B', 'D']"
99,good,"['C', 'A', 'B', 'D']"
