index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'B', 'C']"
1,good,"['A', 'B', 'D', 'C']"
2,good,"['A', 'B', 'C', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'B', 'C', 'D']"
5,good,"['A', 'B', 'D', 'C']"
6,good,"['A', 'C', 'D', 'B']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['A', 'D', 'C', 'B']"
9,unsolvable,"['A', 'D', 'C', 'B']"
10,unsolvable,"['C', 'D', 'A', 'B']"
11,good,"['A', 'C', 'D', 'B']"
12,unsolvable,"['A', 'D', 'B', 'C']"
13,good,"['A', 'D', 'B', 'C']"
14,good,"['A', 'D', 'B', 'C']"
15,good,"['A', 'B', 'D', 'C']"
16,good,"['B', 'D', 'C', 'A']"
17,good,"['A', 'C', 'D', 'B']"
18,unsolvable,"['A', 'D', 'C', 'B']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'B', 'D', 'C']"
23,good,"['A', 'B', 'D', 'C']"
24,unsolvable,"['A', 'D', 'B', 'C']"
25,good,"['A', 'D', 'B', 'C']"
26,good,"['A', 'D', 'B', 'C']"
27,unsolvable,"['A', 'C', 'D', 'B']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'C', 'D', 'B']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'D', 'B', 'C']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'D', 'B', 'C']"
34,good,"['A', 'B', 'D', 'C']"
35,good,"['A', 'C', 'D', 'B']"
36,good,"['A', 'B', 'C', 'D']"
37,good,"['A', 'B', 'D', 'C']"
38,good,"['A', 'B', 'D', 'C']"
39,unsolvable,"['A', 'B', 'D', 'C']"
40,good,"['A', 'D', 'C', 'B']"
41,good,"['A', 'D', 'B', 'C']"
42,good,"['A', 'D', 'B', 'C']"
43,good,"['A', 'D', 'B', 'C']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'B', 'D', 'C']"
46,good,"['A', 'D', 'B', 'C']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'B', 'C', 'D']"
49,good,"['A', 'D', 'B', 'C']"
50,good,"['A', 'D', 'C', 'B']"
51,good,"['A', 'D', 'B', 'C']"
52,unsolvable,"['A', 'C', 'D', 'B']"
53,good,"['A', 'B', 'C', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'D', 'B', 'C']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['A', 'B', 'D', 'C']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'D', 'B', 'C']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['A', 'D', 'B', 'C']"
62,unsolvable,"['A', 'D', 'B', 'C']"
63,good,"['A', 'B', 'D', 'C']"
64,good,"['A', 'B', 'C', 'D']"
65,good,"['A', 'C', 'D', 'B']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,unsolvable,"['A', 'C', 'D', 'B']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'B', 'D', 'C']"
70,good,"['A', 'D', 'B', 'C']"
71,good,"['A', 'D', 'B', 'C']"
72,good,"['A', 'B', 'D', 'C']"
73,good,"['A', 'B', 'D', 'C']"
74,good,"['A', 'D', 'B', 'C']"
75,good,"['A', 'D', 'B', 'C']"
76,good,"['A', 'D', 'B', 'C']"
77,good,"['A', 'D', 'B', 'C']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'B', 'C', 'D']"
80,good,"['A', 'B', 'C', 'D']"
81,good,"['A', 'B', 'D', 'C']"
82,good,"['A', 'C', 'D', 'B']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'B', 'C', 'D']"
86,good,"['A', 'B', 'D', 'C']"
87,good,"['A', 'D', 'B', 'C']"
88,good,"['A', 'D', 'C', 'B']"
89,good,"['A', 'B', 'D', 'C']"
90,good,"['A', 'B', 'D', 'C']"
91,good,"['A', 'D', 'C', 'B']"
92,good,"['B', 'C', 'D', 'A']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'D', 'B', 'C']"
95,good,"['A', 'B', 'D', 'C']"
96,good,"['A', 'B', 'D', 'C']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'D', 'C']"
99,good,"['A', 'C', 'D', 'B']"
